PSIS_REFYEAR_D_CODE,PSIS_PROVOFSTUDY_CODE,PSIS_PRGCODECIP6_D_CODE,PSIS_PCSCE_D_CODE,PSIS_GENDER_CODE,_COUNT_
,,,,,13845
,,,,1,7400
,,,,2,6445
,,,66,,9825
,,,66,1,5175
,,,66,2,4650
,,,76,,2490
,,,76,1,1290
,,,76,2,1200
,,,86,,1530
,,,86,1,935
,,,86,2,595
,,26.1102,,,350
,,26.1102,,1,165
,,26.1102,,2,185
,,26.1102,66,,15
,,26.1102,66,1,10
,,26.1102,66,2,5
,,26.1102,76,,170
,,26.1102,76,1,70
,,26.1102,76,2,100
,,26.1102,86,,165
,,26.1102,86,1,85
,,26.1102,86,2,80
,,27.0501,,,13495
,,27.0501,,1,7235
,,27.0501,,2,6260
,,27.0501,66,,9810
,,27.0501,66,1,5165
,,27.0501,66,2,4645
,,27.0501,76,,2320
,,27.0501,76,1,1220
,,27.0501,76,2,1100
,,27.0501,86,,1365
,,27.0501,86,1,850
,,27.0501,86,2,515
,10,,,,280
,10,,,1,170
,10,,,2,110
,10,,66,,65
,10,,66,1,40
,10,,66,2,25
,10,,76,,145
,10,,76,1,80
,10,,76,2,65
,10,,86,,70
,10,,86,1,50
,10,,86,2,20
,10,26.1102,,,0
,10,26.1102,,1,0
,10,26.1102,,2,0
,10,26.1102,66,,0
,10,26.1102,66,1,0
,10,26.1102,66,2,0
,10,26.1102,76,,0
,10,26.1102,76,1,0
,10,26.1102,76,2,0
,10,26.1102,86,,0
,10,26.1102,86,1,0
,10,26.1102,86,2,0
,10,27.0501,,,280
,10,27.0501,,1,170
,10,27.0501,,2,110
,10,27.0501,66,,65
,10,27.0501,66,1,40
,10,27.0501,66,2,25
,10,27.0501,76,,145
,10,27.0501,76,1,80
,10,27.0501,76,2,65
,10,27.0501,86,,70
,10,27.0501,86,1,50
,10,27.0501,86,2,20
,12,,,,325
,12,,,1,180
,12,,,2,145
,12,,66,,165
,12,,66,1,100
,12,,66,2,65
,12,,76,,105
,12,,76,1,50
,12,,76,2,55
,12,,86,,55
,12,,86,1,30
,12,,86,2,25
,12,26.1102,,,0
,12,26.1102,,1,0
,12,26.1102,,2,0
,12,26.1102,66,,0
,12,26.1102,66,1,0
,12,26.1102,66,2,0
,12,26.1102,76,,0
,12,26.1102,76,1,0
,12,26.1102,76,2,0
,12,26.1102,86,,0
,12,26.1102,86,1,0
,12,26.1102,86,2,0
,12,27.0501,,,325
,12,27.0501,,1,180
,12,27.0501,,2,145
,12,27.0501,66,,165
,12,27.0501,66,1,100
,12,27.0501,66,2,65
,12,27.0501,76,,105
,12,27.0501,76,1,50
,12,27.0501,76,2,55
,12,27.0501,86,,55
,12,27.0501,86,1,30
,12,27.0501,86,2,25
,13,,,,35
,13,,,1,15
,13,,,2,20
,13,,66,,0
,13,,66,1,0
,13,,66,2,0
,13,,76,,25
,13,,76,1,10
,13,,76,2,15
,13,,86,,10
,13,,86,1,5
,13,,86,2,5
,13,26.1102,,,0
,13,26.1102,,1,0
,13,26.1102,,2,0
,13,26.1102,66,,0
,13,26.1102,66,1,0
,13,26.1102,66,2,0
,13,26.1102,76,,0
,13,26.1102,76,1,0
,13,26.1102,76,2,0
,13,26.1102,86,,0
,13,26.1102,86,1,0
,13,26.1102,86,2,0
,13,27.0501,,,35
,13,27.0501,,1,15
,13,27.0501,,2,20
,13,27.0501,66,,0
,13,27.0501,66,1,0
,13,27.0501,66,2,0
,13,27.0501,76,,25
,13,27.0501,76,1,10
,13,27.0501,76,2,15
,13,27.0501,86,,10
,13,27.0501,86,1,5
,13,27.0501,86,2,5
,24,,,,2120
,24,,,1,1195
,24,,,2,925
,24,,66,,1250
,24,,66,1,675
,24,,66,2,575
,24,,76,,680
,24,,76,1,385
,24,,76,2,295
,24,,86,,190
,24,,86,1,135
,24,,86,2,55
,24,26.1102,,,200
,24,26.1102,,1,90
,24,26.1102,,2,110
,24,26.1102,66,,0
,24,26.1102,66,1,0
,24,26.1102,66,2,0
,24,26.1102,76,,115
,24,26.1102,76,1,50
,24,26.1102,76,2,65
,24,26.1102,86,,85
,24,26.1102,86,1,40
,24,26.1102,86,2,45
,24,27.0501,,,1920
,24,27.0501,,1,1105
,24,27.0501,,2,815
,24,27.0501,66,,1250
,24,27.0501,66,1,675
,24,27.0501,66,2,575
,24,27.0501,76,,565
,24,27.0501,76,1,335
,24,27.0501,76,2,230
,24,27.0501,86,,105
,24,27.0501,86,1,95
,24,27.0501,86,2,10
,35,,,,6975
,35,,,1,3710
,35,,,2,3265
,35,,66,,5405
,35,,66,1,2845
,35,,66,2,2560
,35,,76,,885
,35,,76,1,460
,35,,76,2,425
,35,,86,,685
,35,,86,1,405
,35,,86,2,280
,35,26.1102,,,115
,35,26.1102,,1,50
,35,26.1102,,2,65
,35,26.1102,66,,15
,35,26.1102,66,1,10
,35,26.1102,66,2,5
,35,26.1102,76,,35
,35,26.1102,76,1,10
,35,26.1102,76,2,25
,35,26.1102,86,,65
,35,26.1102,86,1,30
,35,26.1102,86,2,35
,35,27.0501,,,6860
,35,27.0501,,1,3660
,35,27.0501,,2,3200
,35,27.0501,66,,5390
,35,27.0501,66,1,2835
,35,27.0501,66,2,2555
,35,27.0501,76,,850
,35,27.0501,76,1,450
,35,27.0501,76,2,400
,35,27.0501,86,,620
,35,27.0501,86,1,375
,35,27.0501,86,2,245
,46,,,,540
,46,,,1,265
,46,,,2,275
,46,,66,,295
,46,,66,1,145
,46,,66,2,150
,46,,76,,130
,46,,76,1,65
,46,,76,2,65
,46,,86,,115
,46,,86,1,55
,46,,86,2,60
,46,26.1102,,,0
,46,26.1102,,1,0
,46,26.1102,,2,0
,46,26.1102,66,,0
,46,26.1102,66,1,0
,46,26.1102,66,2,0
,46,26.1102,76,,0
,46,26.1102,76,1,0
,46,26.1102,76,2,0
,46,26.1102,86,,0
,46,26.1102,86,1,0
,46,26.1102,86,2,0
,46,27.0501,,,540
,46,27.0501,,1,265
,46,27.0501,,2,275
,46,27.0501,66,,295
,46,27.0501,66,1,145
,46,27.0501,66,2,150
,46,27.0501,76,,130
,46,27.0501,76,1,65
,46,27.0501,76,2,65
,46,27.0501,86,,115
,46,27.0501,86,1,55
,46,27.0501,86,2,60
,47,,,,195
,47,,,1,120
,47,,,2,75
,47,,66,,100
,47,,66,1,65
,47,,66,2,35
,47,,76,,60
,47,,76,1,30
,47,,76,2,30
,47,,86,,35
,47,,86,1,25
,47,,86,2,10
,47,26.1102,,,35
,47,26.1102,,1,25
,47,26.1102,,2,10
,47,26.1102,66,,0
,47,26.1102,66,1,0
,47,26.1102,66,2,0
,47,26.1102,76,,20
,47,26.1102,76,1,10
,47,26.1102,76,2,10
,47,26.1102,86,,15
,47,26.1102,86,1,15
,47,26.1102,86,2,0
,47,27.0501,,,160
,47,27.0501,,1,95
,47,27.0501,,2,65
,47,27.0501,66,,100
,47,27.0501,66,1,65
,47,27.0501,66,2,35
,47,27.0501,76,,40
,47,27.0501,76,1,20
,47,27.0501,76,2,20
,47,27.0501,86,,20
,47,27.0501,86,1,10
,47,27.0501,86,2,10
,48,,,,660
,48,,,1,335
,48,,,2,325
,48,,66,,660
,48,,66,1,335
,48,,66,2,325
,48,,76,,0
,48,,76,1,0
,48,,76,2,0
,48,,86,,0
,48,,86,1,0
,48,,86,2,0
,48,26.1102,,,0
,48,26.1102,,1,0
,48,26.1102,,2,0
,48,26.1102,66,,0
,48,26.1102,66,1,0
,48,26.1102,66,2,0
,48,26.1102,76,,0
,48,26.1102,76,1,0
,48,26.1102,76,2,0
,48,26.1102,86,,0
,48,26.1102,86,1,0
,48,26.1102,86,2,0
,48,27.0501,,,660
,48,27.0501,,1,335
,48,27.0501,,2,325
,48,27.0501,66,,660
,48,27.0501,66,1,335
,48,27.0501,66,2,325
,48,27.0501,76,,0
,48,27.0501,76,1,0
,48,27.0501,76,2,0
,48,27.0501,86,,0
,48,27.0501,86,1,0
,48,27.0501,86,2,0
,59,,,,2715
,59,,,1,1410
,59,,,2,1305
,59,,66,,1885
,59,,66,1,970
,59,,66,2,915
,59,,76,,460
,59,,76,1,210
,59,,76,2,250
,59,,86,,370
,59,,86,1,230
,59,,86,2,140
,59,26.1102,,,0
,59,26.1102,,1,0
,59,26.1102,,2,0
,59,26.1102,66,,0
,59,26.1102,66,1,0
,59,26.1102,66,2,0
,59,26.1102,76,,0
,59,26.1102,76,1,0
,59,26.1102,76,2,0
,59,26.1102,86,,0
,59,26.1102,86,1,0
,59,26.1102,86,2,0
,59,27.0501,,,2715
,59,27.0501,,1,1410
,59,27.0501,,2,1305
,59,27.0501,66,,1885
,59,27.0501,66,1,970
,59,27.0501,66,2,915
,59,27.0501,76,,460
,59,27.0501,76,1,210
,59,27.0501,76,2,250
,59,27.0501,86,,370
,59,27.0501,86,1,230
,59,27.0501,86,2,140
2005,,,,,585
2005,,,,1,300
2005,,,,2,285
2005,,,66,,380
2005,,,66,1,175
2005,,,66,2,205
2005,,,76,,145
2005,,,76,1,85
2005,,,76,2,60
2005,,,86,,60
2005,,,86,1,40
2005,,,86,2,20
2005,,26.1102,,,0
2005,,26.1102,,1,0
2005,,26.1102,,2,0
2005,,26.1102,66,,0
2005,,26.1102,66,1,0
2005,,26.1102,66,2,0
2005,,26.1102,76,,0
2005,,26.1102,76,1,0
2005,,26.1102,76,2,0
2005,,26.1102,86,,0
2005,,26.1102,86,1,0
2005,,26.1102,86,2,0
2005,,27.0501,,,585
2005,,27.0501,,1,300
2005,,27.0501,,2,285
2005,,27.0501,66,,380
2005,,27.0501,66,1,175
2005,,27.0501,66,2,205
2005,,27.0501,76,,145
2005,,27.0501,76,1,85
2005,,27.0501,76,2,60
2005,,27.0501,86,,60
2005,,27.0501,86,1,40
2005,,27.0501,86,2,20
2005,10,,,,30
2005,10,,,1,20
2005,10,,,2,10
2005,10,,66,,10
2005,10,,66,1,5
2005,10,,66,2,5
2005,10,,76,,15
2005,10,,76,1,10
2005,10,,76,2,5
2005,10,,86,,5
2005,10,,86,1,5
2005,10,,86,2,0
2005,10,26.1102,,,0
2005,10,26.1102,,1,0
2005,10,26.1102,,2,0
2005,10,26.1102,66,,0
2005,10,26.1102,66,1,0
2005,10,26.1102,66,2,0
2005,10,26.1102,76,,0
2005,10,26.1102,76,1,0
2005,10,26.1102,76,2,0
2005,10,26.1102,86,,0
2005,10,26.1102,86,1,0
2005,10,26.1102,86,2,0
2005,10,27.0501,,,30
2005,10,27.0501,,1,20
2005,10,27.0501,,2,10
2005,10,27.0501,66,,10
2005,10,27.0501,66,1,5
2005,10,27.0501,66,2,5
2005,10,27.0501,76,,15
2005,10,27.0501,76,1,10
2005,10,27.0501,76,2,5
2005,10,27.0501,86,,5
2005,10,27.0501,86,1,5
2005,10,27.0501,86,2,0
2005,12,,,,35
2005,12,,,1,15
2005,12,,,2,20
2005,12,,66,,15
2005,12,,66,1,10
2005,12,,66,2,5
2005,12,,76,,15
2005,12,,76,1,5
2005,12,,76,2,10
2005,12,,86,,5
2005,12,,86,1,0
2005,12,,86,2,5
2005,12,26.1102,,,0
2005,12,26.1102,,1,0
2005,12,26.1102,,2,0
2005,12,26.1102,66,,0
2005,12,26.1102,66,1,0
2005,12,26.1102,66,2,0
2005,12,26.1102,76,,0
2005,12,26.1102,76,1,0
2005,12,26.1102,76,2,0
2005,12,26.1102,86,,0
2005,12,26.1102,86,1,0
2005,12,26.1102,86,2,0
2005,12,27.0501,,,35
2005,12,27.0501,,1,15
2005,12,27.0501,,2,20
2005,12,27.0501,66,,15
2005,12,27.0501,66,1,10
2005,12,27.0501,66,2,5
2005,12,27.0501,76,,15
2005,12,27.0501,76,1,5
2005,12,27.0501,76,2,10
2005,12,27.0501,86,,5
2005,12,27.0501,86,1,0
2005,12,27.0501,86,2,5
2005,13,,,,0
2005,13,,,1,0
2005,13,,,2,0
2005,13,,66,,0
2005,13,,66,1,0
2005,13,,66,2,0
2005,13,,76,,0
2005,13,,76,1,0
2005,13,,76,2,0
2005,13,,86,,0
2005,13,,86,1,0
2005,13,,86,2,0
2005,13,26.1102,,,0
2005,13,26.1102,,1,0
2005,13,26.1102,,2,0
2005,13,26.1102,66,,0
2005,13,26.1102,66,1,0
2005,13,26.1102,66,2,0
2005,13,26.1102,76,,0
2005,13,26.1102,76,1,0
2005,13,26.1102,76,2,0
2005,13,26.1102,86,,0
2005,13,26.1102,86,1,0
2005,13,26.1102,86,2,0
2005,13,27.0501,,,0
2005,13,27.0501,,1,0
2005,13,27.0501,,2,0
2005,13,27.0501,66,,0
2005,13,27.0501,66,1,0
2005,13,27.0501,66,2,0
2005,13,27.0501,76,,0
2005,13,27.0501,76,1,0
2005,13,27.0501,76,2,0
2005,13,27.0501,86,,0
2005,13,27.0501,86,1,0
2005,13,27.0501,86,2,0
2005,24,,,,220
2005,24,,,1,120
2005,24,,,2,100
2005,24,,66,,155
2005,24,,66,1,75
2005,24,,66,2,80
2005,24,,76,,60
2005,24,,76,1,40
2005,24,,76,2,20
2005,24,,86,,5
2005,24,,86,1,5
2005,24,,86,2,0
2005,24,26.1102,,,0
2005,24,26.1102,,1,0
2005,24,26.1102,,2,0
2005,24,26.1102,66,,0
2005,24,26.1102,66,1,0
2005,24,26.1102,66,2,0
2005,24,26.1102,76,,0
2005,24,26.1102,76,1,0
