PSIS_REFYEAR_D_CODE,PSIS_PROVOFSTUDY_CODE,PSIS_PRGCODECIP6_D_CODE,PSIS_PCSCE_D_CODE,PSIS_GENDER_CODE,_COUNT_
,,,,,3860
,,,,1,2040
,,,,2,1820
,,,66,,2150
,,,66,1,1095
,,,66,2,1055
,,,76,,1385
,,,76,1,730
,,,76,2,655
,,,86,,325
,,,86,1,215
,,,86,2,110
,,26.1102,,,90
,,26.1102,,1,35
,,26.1102,,2,55
,,26.1102,66,,0
,,26.1102,66,1,0
,,26.1102,66,2,0
,,26.1102,76,,70
,,26.1102,76,1,25
,,26.1102,76,2,45
,,26.1102,86,,20
,,26.1102,86,1,10
,,26.1102,86,2,10
,,27.0501,,,3120
,,27.0501,,1,1620
,,27.0501,,2,1500
,,27.0501,66,,1970
,,27.0501,66,1,1015
,,27.0501,66,2,955
,,27.0501,76,,955
,,27.0501,76,1,485
,,27.0501,76,2,470
,,27.0501,86,,195
,,27.0501,86,1,120
,,27.0501,86,2,75
,,27.0502,,,645
,,27.0502,,1,385
,,27.0502,,2,260
,,27.0502,66,,175
,,27.0502,66,1,80
,,27.0502,66,2,95
,,27.0502,76,,360
,,27.0502,76,1,220
,,27.0502,76,2,140
,,27.0502,86,,110
,,27.0502,86,1,85
,,27.0502,86,2,25
,,27.9999,,,5
,,27.9999,,1,0
,,27.9999,,2,5
,,27.9999,66,,5
,,27.9999,66,1,0
,,27.9999,66,2,5
,,27.9999,76,,0
,,27.9999,76,1,0
,,27.9999,76,2,0
,,27.9999,86,,0
,,27.9999,86,1,0
,,27.9999,86,2,0
,10,,,,75
,10,,,1,50
,10,,,2,25
,10,,66,,25
,10,,66,1,15
,10,,66,2,10
,10,,76,,40
,10,,76,1,25
,10,,76,2,15
,10,,86,,10
,10,,86,1,10
,10,,86,2,0
,10,26.1102,,,0
,10,26.1102,,1,0
,10,26.1102,,2,0
,10,26.1102,66,,0
,10,26.1102,66,1,0
,10,26.1102,66,2,0
,10,26.1102,76,,0
,10,26.1102,76,1,0
,10,26.1102,76,2,0
,10,26.1102,86,,0
,10,26.1102,86,1,0
,10,26.1102,86,2,0
,10,27.0501,,,75
,10,27.0501,,1,50
,10,27.0501,,2,25
,10,27.0501,66,,25
,10,27.0501,66,1,15
,10,27.0501,66,2,10
,10,27.0501,76,,40
,10,27.0501,76,1,25
,10,27.0501,76,2,15
,10,27.0501,86,,10
,10,27.0501,86,1,10
,10,27.0501,86,2,0
,10,27.0502,,,0
,10,27.0502,,1,0
,10,27.0502,,2,0
,10,27.0502,66,,0
,10,27.0502,66,1,0
,10,27.0502,66,2,0
,10,27.0502,76,,0
,10,27.0502,76,1,0
,10,27.0502,76,2,0
,10,27.0502,86,,0
,10,27.0502,86,1,0
,10,27.0502,86,2,0
,10,27.9999,,,0
,10,27.9999,,1,0
,10,27.9999,,2,0
,10,27.9999,66,,0
,10,27.9999,66,1,0
,10,27.9999,66,2,0
,10,27.9999,76,,0
,10,27.9999,76,1,0
,10,27.9999,76,2,0
,10,27.9999,86,,0
,10,27.9999,86,1,0
,10,27.9999,86,2,0
,12,,,,105
,12,,,1,55
,12,,,2,50
,12,,66,,55
,12,,66,1,35
,12,,66,2,20
,12,,76,,45
,12,,76,1,20
,12,,76,2,25
,12,,86,,5
,12,,86,1,0
,12,,86,2,5
,12,26.1102,,,0
,12,26.1102,,1,0
,12,26.1102,,2,0
,12,26.1102,66,,0
,12,26.1102,66,1,0
,12,26.1102,66,2,0
,12,26.1102,76,,0
,12,26.1102,76,1,0
,12,26.1102,76,2,0
,12,26.1102,86,,0
,12,26.1102,86,1,0
,12,26.1102,86,2,0
,12,27.0501,,,105
