Code,Title,Credits,Description,Prerequisites,Exclusions,Discipline,Level,Type,Category,Comments
MATH 251,Linear Algebra I,0.5,"Matrices and linear equations; vector spaces; bases, dimension and rank; linear mappings and algebra of linear operators; matrix representation of linear operators; determinants; eigenvalues and eigenvectors; diagonalization.",Prerequisite: MATH 204 and 205 or equivalent.,Students who have received credit for MAST 234 or ECON 325 may not take this course for credit.,MATH,2.0,R,MT,NA
MATH 252,Linear Algebra II,0.5,"Characteristic and minimum polynomials; invariant subspaces, invariant direct sums; nilpotent operators, Jordan canonical form; cyclic subspaces; rational canonical form; bilinear and quadratic forms; inner product; orthogonality; adjoint operators and orthogonal operators.",Prerequisite: MATH 251 or equivalent.,Students who have received credit for MAST 235 may not take this course for credit.,MATH,2.0,R,MT,NA
MATH 264,Advanced Calculus I,0.5,"Introduction to limits and continuity in Rn. Multivariate calculus: the derivative as a linear approximation; matrix representation of derivatives; tangent spaces; gradients, extrema, including Lagrange multipliers, Taylor’s formula and the classification of critical points.",Prerequisite: MATH 204 and 205 or equivalent.,Students who have received credit for MAST 218 may not take this course for credit.,MATH,2.0,R,MT,NA
MATH 265,Advanced Calculus II,0.5,"Implicit functions and the implicit function theorem. Multiple integrals and change of variables. Curves, surfaces and vector calculus.",Prerequisite: MATH 264 or equivalent.,Students who have received credit for MAST 219 may not take this course for credit.,MATH,2.0,R,MT,NA
MATH 354,Numerical Analysis,0.5,"Error analysis in numerical algorithms; solution of non-linear equations; fixed point iterations, rate of convergence. Interpolations and approximations, Legendre polynomials. Numerical integration and quadrature.","Prerequisite: MATH 265 or equivalent; MATH 252 or equivalent, previously or concurrently.",Students who have received credit for MAST 334 may not take this course for credit.,MATH,3.0,R,MT,NA
MATH 361,Operations Research,0.5,"Introduction to the theory of optimization; linear programming, simplex method; revised simplex method; transport and assignment problems; integer programming; introduction to graphs and networks.",Prerequisite: MATH 251 or equivalent.,Students who have received credit for MAST 224 or 324 may not take this course for credit.,MATH,3.0,R,MT,NA
MATH 364,Analysis I,0.5,"Mathematical rigour: proofs and counter-examples; quantifiers; number systems; cardinality, decimal representation, density of the rationals, least upper bound. Sequences and series; review of functions, limits and continuity.",Prerequisite: 12 credits in post-Cegep Mathematics or permission of the Department.,None,MATH,3.0,R,MT,NA
MATH 365,Analysis II,0.5,Connectedness and compactness in the reals. Intermediate value theorem; extreme values for continuous functions. Differential and integral calculus; fundamental theorem of calculus; power series.,Prerequisite: MATH 364 or equivalent.,None,MATH,3.0,R,MT,NA
STAT 249,Probability I,0.5,Axiomatic approach to probability; combinatorial probability; discrete and continuous distributions; expectation; conditional expectation; random sampling and sampling distributions.,Prerequisite: MATH 264 or equivalent previously or concurrently.,Students who have received credit for COMP 233 or ECON 221 may not take this course for credit; Students who have received credit for MAST 221 may take STAT 249 for credit only with prior permission of the Department; Students enrolled in a Mathematics and Statistics program who take probability/statistics courses in other departments may not receive credit for this course,STAT,2.0,R,PT,NA
STAT 250,Statistics,0.5,Point and interval estimation; hypothesis testing; Neyman Pearson Lemma and likelihood ratio tests; introduction to correlation and regression,Prerequisite: STAT 249 or equivalent or permission of the Department; MATH 265 or equivalent previously or concurrently.,Students enrolled in a Mathematics and Statistics program who take probability/statistics courses in other departments may not receive credit for this course,STAT,2.0,R,ST,NA
MATH 370,Ordinary Differential Equations,0.5,"Separable equations, exact equations, integrating factors, force fields, first order linear equations, input-output concept, second order equations, Sturm-Liouville problems, applications, series solutions, reduction of order, variation of parameters, nth-order linear equations with constant coefficients, Laplace transforms, block diagrams, and signal-flow graphs.","Prerequisite: MATH 265, 251 or equivalent.",Students who have received credit for MAST 330 may not take this course for credit.,MATH,3.0,R,MT,NA
STAT 349,Probability II,0.5,"Markov decision process and applications. Poisson process, queuing theory, inventory theory; applications.",Prerequisite: STAT 249 or equivalent.,Students who have received credit for MAST 223 may not take this course for credit.,STAT,3.0,R,MT,NA
STAT 360,Linear Models,0.5,"Least-squares estimators and their properties. General linear model with full rank. Analysis of residuals; adequacy of model, lack of fit test, weighted least squares; stepwise regression, Durbin-Watson statistic; one way and two way analysis of variance.",Prerequisite: STAT 250 or equivalent.,"Students who have received credit for MATH 348, ECON 222 or PSYC 316 may not take this course for credit.",STAT,3.0,R,SM,NA
STAT 450,Mathematical Statistics,0.5,"Derivation of standard sampling distributions; distribution of order-statistics; estimation, properties of estimators; Rao-Cramer inequality, Rao-Blackwell theorem, maximum likelihood and method of moments estimation, Neyman-Pearson theory, likelihood ratio tests and their properties.","Prerequisite: STAT 250, 349 previously or concurrently, or permission of the Department.",Students who have received credit for MATH 454 may not take this course for credit.,STAT,4.0,R,ST,NA
NA,NA,1.0,NA,NA,NA,"MATH, STAT",4.0,E,"MT, ST, SM","2 chosen from MATH 464, 467, 478, 479; STAT 449, 452, 460, 461, 480 or BSTA 445"
NA,NA,2.0,NA,NA,NA,"MATH, STAT",23.0,E,"MT, ST, SM, SP, OT","1 chosen from MAST 217, 232, 333; MATH 366; STAT 287, 388; 3 MATH/STAT chosen with prior departmental approval"
STAT 499,Honours Project in Statistics,1.0,NA,NA,NA,STAT,4.0,R,SP,Honours project STAT 499
