Code,Title,Credits,Description,Prerequisites,Exclusions,Discipline,Level,Type,Category,Comments
MATH 1000,Differential and Integral Calculus I,0.5,"This course offers a self-contained introduction to differential and integral calculus. The topics include functions, limits, differentiation of polynomial, trigonometric, exponential and logarithmic functions, product, quotient and chain rules, applications of differentiation, antiderivatives and definite integrals, integration by substitution. A sequel to this course is MATH 1010.03. The XY version of this course covers the same material, but the course duration is spread over the Fall and Winter term. The format of the XY course (1.5 hour workshops twice a week, and the smaller class size) allows for a more interactive learning environment than in a regular lecture format.",Nova Scotia Mathematics advanced 11 and 12 or pre-calculus. Pre-calculus is highly recommended.,"MATH 1215.03, MATH 1280.03, MATH 1500X/Y.06",MATH,1,R,MT,
MATH 1010,Differential and Integral Calculus II,0.5,"A continuation of the study of calculus with topics including: Riemann sums, techniques of integration, elementary differential equations and applications, parametric equations and polar coordinates, sequences and series, Taylor series.","MATH 1000.03, or MATH 1215.03 with a grade of B or better",,MATH,1,R,MT,
STAT 1060,Introductory Statistics for Science and Health Sciences,0.5,"This course gives an introduction to the basic concepts of statistics through extensive use of examples. The topics include experimental design, descriptive statistics, simple linear regression and the basics of statistical inference. Students will learn to use the statistical package MINITAB.",None,Students will not receive credit for taking STAT 1060.03 after receiving credit for STAT 2060.03.,STAT,1,R,"CS, ST, SM",
CSCI 1100,Computer Science I,0.5,This course provides a general introduction to computer science and the hardware and software of computers. The main focus is on programming skills and how to apply these skills in solving a variety of problems. Algorithmic concepts are stressed.,High school PreCalculus or Calculus Math,None,COMP,1,R,CS,
CSCI 1101,Computer Science II,0.5,This course is a continuation of CSCI 1100.03. It focuses on programming and linear data structures.,PREREQUISITES: CSCI 1100.03 or INFX 1600.03 or INFX 1604.03,None,COMP,1,R,CS,
MATH 2001,Intermediate Calculus I,0.5,"Topics include review of parametric equations, polar coordinates, conic sections, coordinate systems and vectors, dot product and cross product, vector functions, derivatives and integrals of vector functions, arc length and curvature, functions of several variables and partial derivatives, directional derivatives and double and triple integrals.",PREREQUISITES: MATH 1010.03,None,MATH,2,R,MT,
MATH 2002,Intermediate Calculus II,0.5,"Topics include multiple integrals and changes of variables, and vector calculus, with an emphasis on Green's and Stokes' theorems. The course also includes an introduction to second order ordinary differential equations.",PREREQUISITES: MATH 2001.03,None,MATH,2,R,MT,
MATH 2030,Matrix Theory and Linear Algebra I,0.5,"This course is a self-contained introduction to Matrix Theory and Linear Algebra. Topics include: subspaces, linear transformations, determinants, eigenvalues and eigenvectors, systems of linear equations. Students should note that this is a second-year course and, although it has no formal first-year prerequisites, certain mathematical maturity is expected.",Nova Scotia advanced Mathematics 11 or 12,,MATH,2,R,MT,
MATH 2040,Matrix Theory and Linear Algebra I,0.5,"This course is a continuation of MATH 2030.03. Topics include: vector spaces and linear transformations, eigenvalues and eigenvectors, similarity and diagonalization, inner product spaces and orthogonal transformations, diagonalization of symmetric matrices and quadratic forms.","MATH 2030.03, and MATH 1000.03 or MATH 1500X/Y.06 or MATH 1215.03",MATH 2135.03,MATH,2,R,MT,
STAT 2060,Introduction to Probability and Statistics,0.5,"Rigorous introduction to probability and statistical theory. Topics covered include elementary probability, random variables, distributions, estimation and hypothesis testing. Estimation and testing are introduced using maximum likelihood and the generalized likelihood ratio.",PREREQUISITES: MATH 1000.03 or MATH 1215.03 or MATH 1550 OR MATH 1500X/Y,EXCLUSIONS: ENGM 2032.03,STAT,2,R,"PT, ST",
STAT 2080,Statistical Methods for Data Analysis and Inference,0.5,"This course introduces a number of techniques for data analysis and inference commonly used in the experimental sciences. Topics covered include model building in linear models, multiple regression, analysis of variance, factorial designs, analysis of covariance using the general techniques for linear models and two and three way tables along with logistic regression.",PREREQUISITES: STAT 1060.03 or STAT 2060.03 or DISP,"EXCLUSIONS: COMM 2502.03, MGMT 2502.03, PSYO 2501.03",STAT,2,R,"ST, SM",
,,1.5,,,,STAT,"2,3",E,SM,Two to five other half credits in Statistics at or above the 2000 level but not including courses listed below.
STAT 3340,Regression and Analysis of Variance,0.5,"A thorough treatment of the theory and practice of regression analysis. Topics include: fitting general linear models using matrices, optimality of least squares estimators (Gauss-Markov theorem), inferences, simple and partial correlation, analysis of residuals, case-deletion diagnostics, polynomial regression, transformations, use of indicator variables for analysis of variance and covariance problems, model selection, and an introduction to nonlinear least squares. This course makes extensive use of computer packages.","PREREQUISITES: STAT 2080.03, MATH 2030.03 and either MATH 1010.03 or STAT 2060.03 or DISP (except SCEI 1540X/Y.27)",None,STAT,3,R,"CS, ST, SM, SP",
STAT 3350,Design of Experiments,0.5,"The aim of the course is to develop the fundamental statistical concepts required for designing efficient experiments to answer real questions. The first main subject is unit variation and control. The basic concepts of replication, blocking and randomization are each examined. The second main subject is treatment questions and structure. The ideas of factorial designs, split-plot and incomplete plot designs are presented. We conclude with a look at response surface methodology.","PREREQUISITES: STAT 2080.03, MATH 2030.03 and either MATH 1010.03 or STAT 2060.03 or DISP (except SCIE 1540X/Y.27)",None,STAT,3,R,SP,
STAT 3360,Probability,0.5,"The concepts and application of probability. Topics include the classical discrete and continuous distributions, including the binomial, hypergeometric, multinomial, Poisson, uniform, exponential and normal; definitions and properties of random variables; independence; sums of independent random variables, including the law of large numbers and central limit theorem; conditional probability; and the bivariate normal distribution. Examples will be taken from the natural and physical sciences.",PREREQUISITES: STAT 2060.03 and MATH 2001.03,None,STAT,3,R,PT,
STAT 3380,Sample Survey Methods,0.5,"The development of design and analysis techniques for sample surveys. Topics include simple, stratified and systematic random sampling, ratio and regression estimation, sub-sampling with units of equal and unequal size, double-multistage and multiphase sampling, non-sample errors and non-respondents.",PREREQUISITES: STAT 2060.03,None,STAT,3,R,SP,
STAT 3460,Intermediate Statistical Theory,0.5,"This course provides an intermediate level coverage of statistical theory to provide a framework for valid inferences from sample data. The methods developed are based on the likelihood function and are discussed from the frequentist, likelihood, and Bayesian approaches. The problems of point estimation, interval estimation and hypothesis testing and the related topics of sampling distributions, sufficiency, and Fisher Information are discussed.",PREREQUISITES: STAT 3360.03,None,STAT,3,R,"ST, SM",
,,1.0,,,,MATH,3,E,MT,Two 3000 level Mathematics courses chosen in consultation with the statistics honours advisor.
STAT 4066,Advanced Statistical Theory I,0.5,"This course, together with STAT 5067.03 provides a solid basis in the theory of statistical inference. After a review of some probability and distribution theory, the Bayesian and classical theories of estimation and testing are introduced.",PREREQUISITES: STAT 3460.03 or instructor’s consent,None,STAT,4,R,ST,
,,0.5,,,,STAT,4,E,"SM, SP",One of STAT 4350 or STAT 4390 or STAT 4620
STAT 4950,Honours Research Project,0.5,This course is required for students in the honours program. It will consist of a research project carried out under the supervision of a faculty member. The results of the research will be submitted to the statistics honours advisor as a written report.,None,"Students wishing to enroll in this course must have a suitable background in statistics, and must meet with, and obtain the approval of, the statistics honours co-ordinator before undertaking their project.",STAT,4,R,"ST, SM, SP",
