Code,Title,Credits,Description,Prerequisites,Exclusions,Discipline,Level,Type,Category,Comments
COMP 250,Introduction to Computer Science,0.5,"Mathematical tools (binary numbers, induction, recurrence relations, asymptotic complexity, establishing correctness of programs), Data structures (arrays, stacks, queues, linked lists, trees, binary trees, binary search trees, heaps, hash tables), Recursive and non-recursive algorithms (searching and sorting, tree and graph traversal). Abstract data types, inheritance. Selected topics.",Familiarity with a high level of programming language and high school level Math,COMP 202 cannot be taken for credit with or after COMP 250,COMP,2.0,R,CS,NA
MATH 235,Algebra 1,0.5,"Sets, functions and relations. Methods of proof. Complex numbers. Divisibility theory for integers and modular arithmetic. Divisibility theory for polynomials. Rings, ideals and quotient rings. Fields and construction of fields from polynomial rings. Groups, subgroups and cosets; group actions on sets.",Prerequisite: MATH 133 or equivalent,None,MATH,2.0,R,MT,NA
NA,NA,0.5,NA,NA,NA,MATH,2.0,R,MT,1 of either MATH 247 or MATH 251
MATH 248,Honours Advanced Calculus,0.5,"Partial derivatives; implicit functions; Jacobians; maxima and minima; Lagrange multipliers. Scalar and vector fields; orthogonal curvilinear coordinates. Multiple integrals; arc length, volume and surface area. Line integrals; Green's theorem; the divergence theorem. Stokes' theorem; irrotational and solenoidal fields; applications.",Prerequisites: MATH 133 and MATH 222 or consent of Department.,Restriction: Not intended for Honours Physics and Engineering Students. Not open to students who have taken or are taking MATH 314,MATH,2.0,R,MT,NA
MATH 255,Honours Analysis 2,0.5,"Basic point-set topology, metric spaces: open and closed sets, normed and Banach spaces, Holder and Minkowski inequalities, sequential compactness, Heine-Borel, Banach Fixed Point theorem. Riemann-(Stieltjes) integral, Fundamental Theorem of Calculus, Taylor's theorem. Uniform convergence. Infinite series, convergence tests, power series. Elementary functions.",Prerequisites: MATH 242 or MATH 254 or permission of the Department,None,MATH,2.0,R,MT,NA
MATH 356,Honours Probability,0.5,"Sample space, probability axioms, combinatorial probability. Conditional probability, Bayes' Theorem. Distribution theory with special reference to the Binomial, Poisson, and Normal distributions. Expectations, moments, moment generating functions, uni-variate transformations. Random vectors, independence, correlation, multivariate transformations. Conditional distributions, conditional expectation.Modes of stochastic convergence, laws of large numbers, Central Limit Theorem.","Prerequisite(s): MATH 133 or MATH 134, and MATH 222 or permisson of the Department.",None,STAT,3.0,R,"MT, PT, ST",NA
MATH 357,Honours Statistics,0.5,Data analysis. Estimation and hypothesis testing. Power of tests. Likelihood ratio criterion. The chi-squared goodness of fit test. Introduction to regression analysis and analysis of variance.,Prerequisite: MATH 356 or equivalent,Restriction: Not open to students who have taken or are taking MATH 324,STAT,3.0,R,"ST, SM",NA
MATH 454,Honours Analysis 3,0.5,"Review of point-set topology: topological space, dense sets, completeness, compactness, connectedness and path-connectedness, separability. Arzela-Ascoli, Stone-Weierstrass, Baire category theorems. Measure theory: sigma algebras, Lebesgue measure and integration, L^1 functions. Fatou's lemma, monotone and dominated convergence theorem. Egorov, Lusin's theorems. Fubini-Tonelli theorem.",None,None,MATH,4.0,R,MT,NA
MATH 470,Honours Research Project,0.5,The project will contain a significant research component that requires substantial independent work consisting of a written report and oral examination or presentation.,Prerequisite: appropriate honours courses with approval of the project supervisor,None,MATH,4.0,R,"ST, SM, SP",NA
MATH 523,Generalized Linear Models,0.5,"Modern discrete data analysis. Exponential families, orthogonality, link functions. Inference and model selection using analysis of deviance. Shrinkage (Bayesian, frequentist viewpoints). Smoothing. Residuals. Quasi-likelihood. Contingency tables: logistic regression, log-linear models. Censored data. Applications to current problems in medicine, biological and physical sciences. R software.",Prerequisite: MATH 423,Restriction: Not open to students who have taken MATH 426,STAT,4.0,R,"CS, ST, SM, SP",NA
MATH 533,Honours Regression and Analysis of Variance,0.5,This course consists of the lectures of MATH 423 but will be assessed at the 500 level,"Prerequisites: MATH 357, MATH 247 or MATH 251.",Restriction: Not open to have taken or are taking MATH 423.,STAT,4.0,R,"ST, SM",NA
MATH 556,Mathematical Statistics 1,0.5,"Distribution theory, stochastic models and multivariate transformations. Families of distributions including location-scale families, exponential families, convolution families, exponential dispersion models and hierarchical models. Concentration inequalities. Characteristic functions. Convergence in probability, almost surely, in Lp and in distribution. Laws of large numbers and Central Limit Theorem. Stochastic simulation.",Prerequisite: MATH 357 or equivalent,None,STAT,4.0,R,"ST, SM",NA
MATH 557,Mathematical Statistics 2,0.5,"Sampling theory (including large-sample theory). Likelihood functions and information matrices. Hypothesis testing, estimation theory. Regression and correlation theory.",Prerequisite: MATH 556,None,STAT,4.0,R,"ST, SM",NA
MATH 587,Advanced Probability Theory 1,0.5,Probability spaces. Random variables and their expectations. Convergence of random variables in Lp. Independence and conditional expectation. Introduction to Martingales. Limit theorems including Kolmogorov's Strong Law of Large Numbers.,Prerequisite(s): MATH 356 and MATH 255 or MATH 243 or equivalent.,None,STAT,4.0,R,"PT, ST, SM",NA
NA,NA,0.5,NA,NA,NA,MATH,2.0,E,MT,1 course selected from: MATH 242 or MATH 254
NA,NA,2.0-2.5,NA,NA,NA,MATH,3.0,E,MT,"4-5 courses selected from: MATH 325, MATH 350, MATH 352, MATH 366, MATH 387, MATH 397, MATH 455, MATH 458, MATH 475, MATH 480, MATH 490, MATH 524, MATH 525, MATH 545, MATH 547, MATH 550, MATH 589, MATH 598"
NA,NA,0-0.5,NA,NA,NA,STAT,24.0,E,"CS, ST","0-1 course selected from MATH 204, MATH 407, MATH 427"
