Code,Title,Credits,Description,Prerequisites,Exclusions,Discipline,Level,Type,Category,Comments
MATH 1000,Calculus I,0.5,"Calculus I is an introduction to differential calculus, including trigonometric and hyperbolic functions. Applications include kinematics, related rates problems, curve sketching, and optimization.",MATH 1090 or a combination of placement test and high school Mathematics scores acceptable to the Department.,The former MATH 1081,MATH,1,R,MT,
MATH 1001,Calculus II,0.5,"Calculus II is an introduction to integral calculus, including Riemann sums, techniques of integration and improper integrals. Applications include exponential growth and decay, areas between curves and volumes of solids of revolution.",MATH 1000 or the former MATH 1081,None,MATH,1,R,MT,
MATH 2000,Calculus III,0.5,"Calculus III is an introduction to infinite sequences and series, and to the differential and integral calculus of multivariate functions. Topics include tests for the convergence of infinite series, power series, Taylor and Maclaurin series, complex numbers including Euler's formula, partial differentiation, and double integrals in Cartesian and polar coordinates.",MATH 1001,None,MATH,2,R,MT,
MATH 2050,Linear Algebra I,0.5,"Linear Algebra I includes the topics: Euclidean n-space, vector operations in 2- and 3-space, complex numbers, linear transformations on n-space, matrices, determinants, and systems of linear equations.",A combination of placement test and high school Mathematics scores acceptable to the Department or 3 credit hours in first year Mathematics courses,None,MATH,2,R,MT,
MATH 2051,Linear Algebra II,0.5,"Linear Algebra II includes the topics: real and complex vector spaces, basis, dimension, change of basis, eigenvectors, inner products, and diagonalization of Hermitian matrices.",MATH 1000 and 2050,None,MATH,2,R,MT,
MATH 3000,Real Analysis I,0.5,"Real Analysis I covers proof techniques, structure of the real numbers, sequences, limits, continuity, uniform continuity, differentiation.",MATH 2000,None,MATH,3,R,MT,
MATH 3001,Real Analysis II,0.5,"Real Analysis II examines Infinite series of constants, sequences and series of functions, uniform convergence and its consequences, power series, Taylor series, Weierstrass Approximation Theorem",MATH 3000,None,MATH,3,R,MT,
MATH 3132,Numerical Analysis I,0.5,"Numerical Analysis I includes a discussion of round-off error, the solution of linear systems, iterative methods for nonlinear equations, interpolation and polynomimal approximation, least squares approximation, fast Fourier transform, numerical differentiation and integration, and numerical methods for initial value problems.","MATH 2000, MATH 2050, and a computing course (Computer Science 1510 is recommended)",None,MATH,3,R,MT,
MATH 3202,Vector Calculus,0.5,"Vector Calculus deals with functions of several variables, Lagrange multipliers, vector valued functions, directional derivatives, gradient, divergence, curl, transformations, Jacobian, inverse and implicit function theorems, multiple integration including change of variables using polar, cylindrical and spherical co-ordinates, Green's theorem, Stokes' theorem, divergence theorem, line integrals, arc length.",MATH 2000 and 2050,None,MATH,3,R,MT,
MATH 3210,Introduction to Complex Analysis,0.5,"Introduction to Complex Analysis examines complex numbers, analytic functions of a complex variable, differentiation of complex functions and the Cauchy-Riemann equations, complex integration, Cauchy's theorem, Taylor and Laurent series, residue theory and applications.",MATH 3000,None,MATH,3,R,MT,
STAT 2560,Further Statistics for Social Science Students,0.5,"Further Statistics for Social Science Students covers estimation and hypothesis testing in the two-sample and paired sample cases, one way and two way analysis of variance, simple and multiple linear regression, chi-square tests, non-parametric tests including sign test, Wilcoxon signed rank test and Wilcoxon rank test.","STAT 1510 or 2500 or 2550 or the former 2510, MATH 1000 or the former 1081","STAT 2501, PSYC 2911, 2950, and the former 2901",STAT,2,R,"SM, SP",
STAT 3410,Probability and Statistics,0.5,"Probability and Statistics covers basic probability concepts, combinatorial analysis, conditional probability, independence, random variables, distribution function, mathematical expectation, Chebyshev's inequality, distribution of two random variables, binomial and related distributions, Poisson, gamma, beta, normal, multivariate normal, student t and F distributions, transformations of random variables, convergence in probability, convergence in distribution, delta-method, moment-generating function technique, central limit theorem.",MATH 2000,None,STAT,3,R,"PT, ST, SM",
STAT 3411,Statistical Inference I,0.5,"Statistical Inference I examines sampling distributions, order statistics, confidence interval, hypotheses testing, chi-square tests, maximum likelihood estimation, Rao-Cramer inequality and efficiecy, mazimum likelihood tests, sufficiency, completeness and uniqueness, exponential class of distributions, likelihood ratio test and Neyman-Pearson lemma.",STAT 3410,None,STAT,3,R,"ST, SM",
STAT 3520,Experimental Design I,0.5,"Experimental Design I is an introduction to basic concepts in experimental design, including principles of experimentation; single factor designs such as completely randomized designs, randomized block designs; Latin square designs; Graeco Latin square designs; multiplt comparison tests; analysis of covariance; balanced incomplete block designs; factorial designs; fixed, random, and mixed effects models.",MATH 2050 and either STAT 3411 or both MATH 1001 and one of STAT 2501 or 2560 or the former 2511,PSYC 3900 and 3950,STAT,3,R,"SM, SP",
STAT 3521,Regression,0.5,"Regression covers inferences in linear regression analysis including estimation, confidence and prediction intervals, hypotheses testing and simultaneous inference; matrix approach to regression analysis, multiple linear regression, multicollinearity, model building and selection, polynomial regression, qualitative predictor variables.",MATH 2050 and either STAT 3411 or both MATH 1001 and one of STAT 2501 or 2560 or the former 2511,None,STAT,3,R,"ST, SM",
STAT 4410,Statistical Inference II,0.5,"Statistical Inference II covers multivariate normal distributions, quadratic forms of normal random variables, analysis of variance, multiple comparisons, distributions of quadratic forms, independence of quadratic forms, regression, distributions of order statistics, nonparametric statistics.","MATH 2051, STAT 3411",None,STAT,4,R,ST,
STAT 4530,Survey Sampling,0.5,"Survey Sampling covers basic concepts, simple random sampling, unequal probability sampling and the Horvitz-Thompson principle, sufficiency, design and modelling in sampling, ratio and regression estimators, stratified and cluster sampling, methods for elusive and/or hard- to- detect populations.",STAT 3411,None,STAT,4,R,"SM, SP",
STAT 4590,Statistical Analysis of Data I,0.5,"Statistical Analysis of Data I examines the statistical analysis of real life univariate data using computational and statistical methods including descriptive statistics, chi-square tests, non-parametric tests, analysis of variance, linear, logistic and log-linear regressions. Other statistical techniques such as integrated autoregressive moving average modelling and forecasting or quality control methods may be introduced depending on the nature of the data.","one of STAT 3520, 3521, or 3540",None,"STAT, COMP",4,R,"CS, ST, SM",
