Code,Title,Credits,Description,Prerequisites,Exclusions,Discipline,Level,Type,Category,Comments
MATH 110,Linear Algebra,1.0,For students intending a medial or major concentration in Mathematics or Statistics. Provides a thorough introduction to linear algebra up to and including eigenvalues and eigenvectors.,Recommendation: At least one 4U mathematics course.,No more than 1 course from MATH 110/6.0; MATH 111/6.0; MATH 112/3.0; No more than 1 course from MATH 110/6.0 and MATH 212/3.0.,MATH,1,R,MT,
MATH 120,Differential and Integral Calculus,1.0,"A thorough discussion of calculus, including limits, continuity, differentiation, integration, multivariable differential calculus, and sequences and series.","Recommendation: MHF4U and MCV4U or 4U AFIC, or permission of the Department.",No more than 6.0 units from MATH 120/6.0; MATH 121/6.0; MATH 122/6.0; MATH 123/3.0; MATH 124/3.0; MATH 126/6.0.,MATH,1,R,MT,
MATH 280,Advanced Calculus,0.5,"Limits, continuity, C1 , and linear approximations of functions of several variables. Multiple integrals and Jacobians. Line and surface integrals. The theorems of Green, Stokes, and Gauss.",Prerequisite: (MATH 110/6.0 or MATH 111/6.0 or MATH 112/3.0) and (MATH 120/6.0 or MATH 121/6.0 or MATH 122/6.0 or MATH 124/3.0).,No more than 3.0 units from MATH 221/3.0; MATH 227/3.0; MATH 280/3.0.,MATH,2,R,MT,
MATH 281,Introduction to Real Analysis,0.5,"Taylor’s theorem, optimization, implicit and inverse function theorems. Elementary topology of Euclidean spaces. Sequences and series of numbers and functions. Pointwise and uniform convergence. Power series.",Prerequisite: MATH 120/6.0 or MATH 121/6.0 or MATH 122/6.0 or MATH 124/3.0,None,MATH,2,R,MT,
STAT 268,Statistics and Probability I,0.5,"Basic ideas of probability theory such as random experiments, probabilities, random variables, expected values, independent events, joint distributions, conditional expectations, moment generating functions. Main results of probability theory including Chebyshev’s inequality, law of large numbers, central limit theorem. Introduction to statistical computing.","PREREQUISITE    One of MATH 120, MATH 121, MATH 124*, MATH 126.","EXCLUSIONS    STAT 251*, STAT 351*.",STAT,2,R,PT,Can use STA 351 Probability I as substitute
STAT 269,Statistics and Probability II,0.5,"Basic techniques of statistical estimation such as best unbiased estimates, moment estimates, maximum likelihood. Bayesian methods. Hypotheses testing. Classical distributions such as the t-distribution, F-distribution, beta distribution. These methods will be illustrated by simple linear regression. Statistical computing.",  MATH 221* or MATH 280*; STAT 268*; or permission of the Department., STAT 261*.,STAT,2,R,"ST, SM, SP",
STAT 353,Probability II,0.5,"Intermediate probability theory as a basis for further study in mathematical statistics and stochastic processes; probability measures, expectations; modes of convergence of sequences of random variables; conditional expectations; independent systems of random variables; Gaussian systems; characteristic functions; Law of large numbers, Central limit theory; some notions of dependence.",Prerequisite: (STAT 268/3.0 or STAT 351/3.0) and (MATH 110/6.0 or MATH 111/6.0 or MATH 112/3.0) and MATH 281/3.0.,None,"MATH, STAT",3,R,PT,
STAT 361,Applied Methods in Statistics I,0.5,"A detailed study of simple and multiple linear regression, residuals and model adequacy. The least squares solution for the general linear regression model. Analysis of variance for regression and simple designed experiments; analysis of categorical data.","Prerequisite: (MATH 110/6.0 or MATH 111/6.0 or MATH 112/3.0) and (STAT 268/3.0 or STAT 351/3.0) and (STAT 263/3.0 or STAT 267/3.0 or STAT 269/3.0 or STAT 367/3.0), or permission of the Department.",No more than 3.0 units from ECON 351/3.0; STAT 361/3.0,STAT,3,R,"SM, SP",
STAT 463,Fundamentals of Statistical Inference,0.5,"Decision theory and Bayesian inference; principles of optimal statistical procedures; maximum likelihood principle; large sample theory for maximum likelihood estimates; principles of hypotheses testing and the Neyman‐Pearson theory; generalized likelihood ratio tests; the chi‐square, t, F and other distributions.",Recommended: STAT 353/3.0; Prerequisite: STAT 269/3.0.,None,STAT,4,R,ST,
,,1.0,,,,MATH,3,E,MT,Two courses from MATH 328; MATH 337; (MATH 384 and MATH 385)
,,2.0,,,,STAT,4,E,"ST, SM, SP",Four courses from MATH 421; STAT 455; STAT 460; STAT 462; STAT 464; STAT 471; STAT 473; STAT 486; STAT 569
,,1.5,,,,"MATH, STAT","2,3",E,"MT, ST, SM, SP","Three courses from MATH 210; MATH 211; MATH 231; or any MATH, STAT, BIOM at the 300 level or above"
,,10.0,,,,OTHR,,FE,OT,"20 additional elective courses,The Plan, alone, or in combination with a Minor in another subject, and with sufficient electives to total 120.0 credits, will lead to a Bachelor of Science (Honours) Degree. This Plan contains 60.0 units."
