Code,Title,Credits,Description,Prerequisites,Exclusions,Discipline,Level,Type,Category,Comments
CMPT 120,Introduction to Computing Science and Programming I,0.5,"An elementary introduction to computing science and computer programming, suitable for students with little or no programming background. Students will learn fundamental concepts and terminology of computing science, acquire elementary skills for programming in a high-level language and be exposed to diverse fields within, and applications of computing science. Topics will include: pseudocode, data types and control structures, fundamental algorithms, computability and complexity, computer architecture, and history of computing science. Treatment is informal and programming is presented as a problem-solving tool.",Prerequisite: BC Math 12 or equivalent is recommended.,"Students with credit for CMPT 102, 125, 126, 128 or 130 may not take this course for further credit.",COMP,1.0,R,CS,Transitive requirement (needed for CMPT 129)
CMPT 129,Introduction to Computing Science and Programming for Mathematics and Statistics,0.5,"A second course in computing science and programming intended for students studying mathematics, statistics or actuarial science and suitable for students who already have some background in computing science and programming. Topics include: a review of the basic elements of programming: use and implementation of elementary data structures and algorithms; fundamental algorithms and problem solving; basic object-oriented programming and software design; computation and computabiiity and specification and program correctness.",Prerequisite: CMPT 120.,"Students with credit for CMPT 125, 128, and 135 may not take this course for further credit. Quantitative.",COMP,1.0,R,CS,"One of: CMPT 125, CMPT 126, or CMPT 129"
MATH 151,Calculus I,0.5,"Designed for students specializing in mathematics, physics, chemistry, computing science and engineering. Logarithmic and exponential functions, trigonometric functions, inverse functions. Limits, continuity, and derivatives. Techniques of differentiation, including logarithmic and implicit differentiation. The Mean Value Theorem. Applications of differentiation including extrema, curve sketching, Newton's method. Introduction to modeling with differential equations. Polar coordinates, parametric curves. Prerequisite: Pre-Calculus 12 (or equivalent) with a grade of at least A, or MATH 100 with a grade of at least B, or achieving a satisfactory grade on the Simon Fraser University Calculus Readiness Test. Students with credit for either MATH 150, 154 or 157 may not take MATH 151 for further credit. Quantitative.","Prerequisite: Pre-Calculus 12 (or equivalent) with a grade of at least A, or MATH 100 with a grade of at least B, or achieving a satisfactory grade on the Simon Fraser University Calculus Readiness Test.","Students with credit for either MATH 150, 154 or 157 may not take MATH 151 for further credit. Quantitative.",MATH,1.0,R,MT,"One of: MATH 150, MATH 151, MATH 154, or MATH 157"
MATH 152,Calculus II,0.5,"Riemann sum, Fundamental Theorem of Calculus, definite, indefinite and improper integrals, approximate integration, integration techniques, applications of integration. First-order separable differential equations and growth models. Sequences and series, series tests, power series, convergence and applications of power series.",Prerequisite: MATH 150 or 151; or MATH 154 or 157 with a grade of at least B.,Students with credit for MATH 155 or 158 may not take this course for further credit. Quantitative.,MATH,1.0,R,MT,"One of: MATH 152, MATH 155, or MATH 158"
STAT 180,Career Development Seminar for Statistics and Actuarial Science,0.5,A seminar primarily for students undertaking a major or an honors program in Statistics. Visiting speakers share experience relevant to Statistics students and provide useful education and career advice.,NA,NA,STAT,1.0,R,"SP, OT",NA
MATH 240,Algebra I: Linear Algebra,0.5,"Linear equations, matrices, determinants. Real and abstract vector spaces, subspaces and linear transformations; basis and change of basis. Complex numbers. Eigenvalues and eigenvectors; diagonalization. Inner products and orthogonality; least squares problems. Applications. Subject is presented with an abstract emphasis and includes proofs of the basic theorems.","Prerequisite: MATH 150 or 151; or MACM 101; or MATH 154 or 157, both with a grade of at least B.",Students with credit for MATH 232 cannot take this course for further credit. Quantitative.,MATH,2.0,R,MT,One of MATH 232 or MATH 240
MATH 242,Introduction to Analysis I,0.5,Mathematical induction. Limits of real sequences and real functions. Continuity and its consequences. The mean value theorem. The fundamental theorem of calculus. Series.,MATH 152; or MATH 155 or 158 with a grade of B.,None,MATH,2.0,R,MT,NA
MATH 251,Calculus III,0.5,"Rectangular, cylindrical and spherical coordinates. Vectors, lines, planes, cylinders, quadric surfaces. Vector functions, curves, motion in space. Differential and integral calculus of several variables. Vector fields, line integrals, fundamental theorem for line integrals, Green's theorem.",MATH 152; or MATH 155 or MATH 158 with a grade of at least B; It is recommended that MATH 240 or 232 be taken before or concurrently with MATH 251.,None,MATH,2.0,R,MT,NA
STAT 240,Introduction to Data Science,0.5,"Introduction to modern tools and methods for data acquisition, management, and visualization capable of scaling to Big Data.","A first course in computer programming, such as CMPT 120, and either a first course in statistics - such as STAT 101, STAT 201, or STAT 270 - or 30 units.",None,STAT,2.0,R,"CS, SP",NA
STAT 270,Introduction to Probability and Statistics,0.5,"Basic laws of probability, sample distributions. Introduction to statistical inference and applications.",MATH 152 or 155 or 158. Students wishing an intuitive appreciation of a broad range of statistical strategies may wish to take STAT 100 first.,None,STAT,2.0,R,"PT, ST",NA
