Code,Title,Credits,Description,Prerequisites,Exclusions,Discipline,Level,Type,Category,Comments
MATH 106,Calculus I,0.5,"An introduction to differential calculus of a single variable, with applications to physical, life, and social sciences. Topics include limits, differentiation of polynomial, exponential, logarithmic, and trigonometric functions, inverse functions and their derivatives, implicit differentiation, curve sketching, and applied max-min problems. The format of MATH 106 has been structured to provide students with additional learning resources to support and foster a conducive learning environment. Credit will be granted for only one of MATH 106, ENGR 121 or MATH 126.",Grade 12 pre-calculus or equivalent. Three credits and one-hour problem-session and one-hour lab.,NA,MATH,1.0,R,MT,NA
MATH 107,Calculus III,0.5,"An introduction to integral calculus for functions of one variable. Topics include definite and indefinite integrals; the fundamental theorem of calculus; methods of integration; numerical approximation of definite integrals; applications to area and volume; probability density functions and distributions; differential equations; and Taylor polynomials. The format of MATH 107 has been structured to provide students with additional learning resources to support and foster a conducive learning environment. Credit will be granted for only one of MATH 107, ENGR 122 or MATH 127. P",Prerequisite: MATH 106 or 111 or 126.Three credits and one-hour problem-session and one-hour lab.,NA,MATH,1.0,R,MT,NA
CSCI 161,Introduction to Programming,0.5,"An introduction to computers, algorithms and programming. Topics include problem analysis, algorithm development, data representation, control structures, arrays, and file manipulation",None,"CSCI 125, ENGR 144, INFO 255",COMP,1.0,R,CS,NA
CSCI 162,Programming and Data Structures,0.5,"Continuing from the material in CSCI 161, this course covers memory management and data abstraction via classes and objects, and introduces the linear data structures lists, stacks, and queues. Structured programming is encouraged via modular development",CSCI 125 OR 161,INFO 256,COMP,1.0,R,CS,NA
MATH 253,Matrix Algebra,0.5,"An introduction to solution of linear systems, algebra of matrices, determinants, two- and three-dimensional vector spaces, and the matrix eigenvalue problem.",MATH 101/102 or 127(112) or 122 or CSCI 162,MATH 223,MATH,2.0,R,MT,NA
MATH 254,Linear Algebra,0.5,"An introduction to abstract vector spaces, including discussion of bases, dimension and homomorphisms of vector spaces; linear transformations, including invariant subspaces; matrix representations and diagonalization procedures.",MATH 253,None,MATH,2.0,R,MT,NA
MATH 267,Calculus III,0.5,"Topics include the Taylor polynomial theorem; indeterminate forms and l’Hôpital’s rule; improper integrals; infinite and power series and tests of convergence; parametric equations; partial differentiation; and selected concepts from multivariate differential calculus, and multiple integration.",MATH 107 or 127(112) or 122,MATH 222,MATH,2.0,R,MT,NA
MATH 277,Discrete Structures,0.5,"An introduction to sets, binary relations and operations; induction and recursion; partially ordered sets; simple combinations; truth tables; Boolean algebras and elementary group theory, with applications to logic networks, trees and languages; binary coding theory and finite-state machines.",MATH 101/102 or 127(112) or 122 or CSCI 162,None,MATH,2.0,R,MT,NA
STA 231,Statistics for Students in the Sciences,0.5,"Topics include descriptive statistics; data collection, tabulation, and presentation; measures of central tendency and variability; elementary probability; binomial, normal and chi-square distributions; parameter estimation and tests of hypotheses; linear regression and correlation. Students will learn about statistical significance and the communication of statistical evidence, and be introduced to a statistics computer package. Credit will be granted for only one of STAT 231, STAT 101(201), STAT 224, PSYC 290(292).",Prerequisite: MATH 107 or 127(112) or 122. Three credits and a one-hour lab.,NA,STAT,2.0,R,"ST, SM",STAT 231 or 101(201)
MATH 354,Modern Algebra I,0.5,"This course introduces algebraic structures such as groups, rings and fields along with fundamental algebraic concepts such as symmetries, permutations, isomorphisms and homomorphisms. Applications from diverse areas may include coding theory, crystallography, circuits, logic, geometry and graph theory.","MATH 254, 277",None,MATH,3.0,R,MT,NA
MATH 366,Real Analysis I,0.5,This course considers rigorous development of the real number system; numerical sequences and series; properties of continuous functions; metric spaces; sequences and series of functions.,"MATH 254, 267, and 277",None,MATH,3.0,R,MT,NA
MATH 367,Differential Equations,0.5,Topics include first- and second-order linear differential equations; systems of linear differential equations; methods of solution including Laplace transforms and series solution; introduction to non-linear differential equations and numerical methods.,MATH 107 or 127(112),MATH 221,MATH,3.0,R,MT,NA
STAT 311,Survey Sampling Design,0.5,"Topics include simple random sampling, stratified sampling, systematic sampling, cluster sampling, multi-stage sampling, bootstrap samples.",STAT 101(201) or 224 or 231,None,STAT,3.0,R,SM,NA
STAT 331,Statistical Methods,0.5,"An investigation of statistics and experimental design in the context of biological and health science issues. Topics include analysis of variance, categorical data; distribution-free tests; linear and multiple regression. Students will learn to analyze data and interpret conclusions using a statistical software package",STAT 101(201) or 224 or 231,"PSYC 394, PSYC 390",STAT,3.0,R,"SM, SP",NA
STAT 333,Introductory Probability Theory,0.5,Material will include: combinational analysis; axioms of probability; the law of total probability and Bayes’ Theorem; discrete and continuous random variables; mathematical expectation and variance; joint distributions; introduction to momentgenerating functions and their applications; limit theorems.,MATH 222 or 267 and MATH 223 or 253,None,STAT,3.0,R,PT,NA
STAT 334,Mathematical Statistics,0.5,Topics include distribution theory; order statistics; point and interval estimation; MVUEs and the Rao-Blackwell theorem; consistency and sufficiency; the method of maximum likelihood; the method of moments; uniformly most powerful tests and the Neymann-Pearson fundamental lemma; likelihood ratio tests; least squares theory; statistical models and estimation in ANOVA.,STAT 333,None,STAT,3.0,R,ST,NA
MAT454,Modern Algebra II,0.5,"The topics are: polynomial rings, unique factorization, irreducible polynomials; Sylow theorems, solvability of polynomial equations; Galois theory; and the Jordan canonical form.",Prerequisite: MATH 354,NA,MATH,4.0,R,MT,NA
STAT 435,Regression Analysis,0.5,"Topics include straight-line regression, multiple regression, variable selection, residual analysis, multicolinearity, multiple and partial correlations, analysis of co-variance, logistic regression",STAT 231 or 333,None,STAT,4.0,R,SM,NA
STAT 491,Senior Thesis,0.5,Students will prepare a thesis based on original research conducted under the supervision of a faculty member. Required for honours students; permitted for advanced major students.,None,None,STAT,4.0,R,SP,NA
STAT 493,Senior Thesis,0.5,Students will prepare a thesis based on original research conducted under the supervision of a faculty member. Required for honours students; permitted for advanced major students.,None,None,STAT,4.0,R,SP,NA
NA,NA,2.0,NA,NA,NA,"MATH, STAT",34.0,E,"MT, ST, SM, SP","Additional MATH/STAT courses: includes at least 4 courses at the 300 or 400 level, with no fewer than one course at the 400 level"
