Code,Title,Credits,Description,Prerequisites,Exclusions,Discipline,Level,Type,Category,Comments
ENGL 112,Studies in Composition,0.5,"Study and application of the principles of university-level discourse, with emphasis on processes of research-based writing. Essays and exercises are required.",Students must have one of a) 70% in English 12 or English 12 First Peoples; b) a 5 on the LPI; c) a passing grade in the Okanagan campus' Writing 009; d) or an acceptable equivalent.,ENGL 114,OTHR,1.0,R,OT,NA
SCIE 113,First-Year Seminar in Science,0.5,"Small-group experience where students study science in society, scientific process, and how to communicate scientific concepts.",None,None,OTHR,1.0,R,OT,NA
CPSC 110,"Computation, Programs, and Programming",0.5,"Fundamental program and computation structures. Introductory programming skills. Computation as a tool for information processing, simulation and modeling, and interacting with the world",None,None,COMP,1.0,R,CS,NA
MATH 120,Honours Differential Calculus,0.5,"Limits, derivatives, Mean Value Theorem and applications, elementary functions, optimization, Taylor series, approximation. Please consult the Faculty of Science Credit Exclusion List: www.students.ubc.ca/calendar/index.cfm?tree=12,215,410,414. [4-0-0]",Prerequisite: High-school calculus and one of (a) a score of 95% or higher in BC Principles of Mathematics 12 or Pre-calculus 12; or (b) permission from the Mathematics Department Head.,NA,MATH,1.0,R,MT,MATH 120 or 180 or 184 (or 100 or 102 or 104)
MATH 121,Honours Integral Calculus,0.5,"Definite integrals and the Fundamental Theorem of Calculus, techniques and applications of integration, infinite series. Please consult the Faculty of Science Credit Exclusion List: www.students.ubc.ca/calendar/index.cfm?tree=12,215,410,414. [4-0-0]","Prerequisite: Either (a) a score of 68% or higher in MATH 120 or (b) a score of 80% or higher in one of MATH 100, MATH 102, MATH 104, MATH 180, MATH 184 or (c) a score of 5 in AP Calculus AB.",NA,MATH,1.0,R,MT,MATH 101 or 103 or 105 (or 121)
CPSC 210,Software Construction,0.5,"Design, development, and analysis of robust software components. Topics such as software design, computational models, data structures, debugging, and testing. [3-2-0]",NA,NA,COMP,2.0,R,"MT, CS",CPSC 210 or MATH 210
MATH 226,Advanced Calculus I,0.5,"Functions of several variables: limits, continuity, differentiability; implicit functions; Taylor's theorem; extrema; Lagrange multipliers; multiple integration, Fubini's theorem; improper integrals. Please consult the Faculty of Science Credit Exclusion List: www.students.ubc.ca/calendar/index.cfm?tree=12,215,410,414. [3-0-0]","Prerequisite: Either (a) a score of 68% or higher in MATH 121 or (b) a score of 80% or higher in one of MATH 101, MATH 103, MATH 105, SCIE 001.",NA,MATH,2.0,R,MT,MATH 226 or 200
MATH 227,Advanced Calculus II,0.5,"Parametrization of curves and surfaces; line and surface integrals; theorems of Green, Gauss, Stokes; applications to physics and/or introduction to differential forms. Please consult the Faculty of Science Credit Exclusion List: www.students.ubc.ca/calendar/index.cfm?tree=12,215,410,414. [3-0-0]",Prerequisite: A score of 68% or higher in MATH 226.,NA,MATH,2.0,R,MT,MATH 227 or 317
STAT 200,Elementary Statistics for Applications,0.5,"Classical, nonparametric, and robust inferences about means, variances, and analysis of variance, using computers. Emphasis on problem formulation, assumptions, and interpretation.","One of MATH 101, MATH 103, MATH 105, MATH 121, SCIE 001.",None,STAT,2.0,R,"ST, SM",NA
STAT 302,Introduction to Probability,0.5,"Basic notions of probability, random variables, expectation and conditional expectation, limit theorems.","One of MATH 200, MATH 226, MATH 217, MATH 253, MATH 263.",MATH 302 is an exclusion of STAT 302 and vice-versa,STAT,3.0,R,PT,STAT/MATH 302
