Code,Title,Credits,Description,Prerequisites,Exclusions,Discipline,Level,Type,Category,Comments
MATH 191,Single Variable Calculus I,0.5,"This course is an introduction to differential and integral calculus of functions of a single variable. The course is intended primarily for majors in the Mathematical and Computational Sciences, Engineering and the Physical Sciences, as well as those planning to continue with further Mathematics courses. The concepts of limits, continuity and derivatives are introduced and explored numerically, graphically and analytically. The tools of differential calculus are applied to problems in: related rates; velocity and acceleration; extrema of functions; optimization; curve sketching; and indeterminate forms. The concepts of definite and indefinite integrals are introduced, and the relation between the two integrals is discovered via the Fundamental Theorem of Calculus.",PREREQUISITE: Grade XII academic Mathematics and a passing grade on the Assessment Test.,NA,MATH,1,R,MT,NA
MATH 192,Single Variable Calculus II,0.5,"This course is a continuation of integral calculus of functions of a single variable and an introduction to sequences and series. Techniques of integration are studied, including improper integrals and numerical integration, and the tools of integral calculus are used to compute areas, volumes and arc lengths; and are applied to problems in physics and differential equations. Sequences, series, tests for convergence, Taylor series and Taylor polynomials are studied.",PREREQUISITE: Math 191,NA,MATH,1,R,MT,NA
MATH 261,Linear Algebra I,0.5,"This course introduces some of the basic concepts and techniques of linear algebra to students of any major. The emphasis is on the interpretation and development of computational tools. Theory is explained mainly on the basis of two or three-dimensional models. Topics covered are: matrices; determinants; systems of equations; vectors in two and three-dimensional space including dot and cross products, lines, and planes; concepts of linear independence, basis, and dimension explained with examples; linear transformations and their matrices; eigenvectors and eigenvalues.",PREREQUISITE: Grade XII academic Mathematics,NA,MATH,2,R,MT,NA
STAT 221,Introductory Statistics,0.5,"The main objective of this course is to introduce the basic concepts of descriptive statistics, statistical inference, and the use of statistical software such as MINITAB to students in any discipline. More time is spent on statistical inference than on descriptive statistics. Topics include frequency distributions, descriptive statistics, rules of probability, discrete and continuous probability distributions, random sampling and sampling distributions, confidence intervals, one- and two-tail tests of hypotheses, and correlation and linear regression.",PREREQUISITE: Grade XII academic Mathematics.,NA,STAT,2,R,"SM, SP",NA
CS 191,Computer Science I,0.5,"This course is an introduction to computer programming and is designed for both Computer Science majors and non-majors.  Emphasis is on problem solving and software development using a modern high level object-oriented language.   Topics include:  the programming process; language syntax and semantics; data types; expressions; input and output; conditionals; loops; arrays; functions/methods and text files.  The course follows an “objects late” strategy, deferring in-depth discussion of object-oriented concepts to Computer Science 192.",PREREQUISITE:  Grade XII academic Mathematics,NA,COMP,1,R,CS,NA
CS 192,Computer Science II,0.5,This course continues the development of object-oriented programming.  Topics include class design; inheritance; interfaces and polymorphism; collection classes; searching and sorting; recursion; exception handling; the Model-View-Controller pattern; and graphical user interfaces.,PREREQUISITE:  CS 191,NA,COMP,1,R,CS,NA
NA,NA,0.5,NA,NA,NA,OTHR,1,E,OT,"One of: UPEI 101, UPEI 102, UPEI 103 (Writing Studies, Inquiry Studies, University Studies)"
MATH 291,Multivariable and Vector Calculus,0.5,"This course continues from Math 192 and is an introduction to multivariable differentiation and integration and vector calculus. Topics include parametric representation of curves; polar coordinates; vectors; dot and cross products; curves and surfaces in space; calculus of vector-valued functions; functions of several variables; partial differentiation; directional derivatives; tangent planes; local and constrained maxima and minima; double and triple integrals; changes of variables in multiple integrals; vector fields; line and surface integrals; gradient, divergence and curl; Green’s, Stokes’ and Divergence Theorems.",PREREQUISITE: Math 192,NA,MATH,2,R,MT,NA
STAT 222,Introductory Statistics II,0.5,"The course builds upon the knowledge developed in Introductory Statistics I and introduces students to statistical techniques commonly used in research. Topics include linear regression and multiple linear regression, residual analysis, simple ANOVA models, categorical data analysis, simple sampling models, and common distributions (including binomial, Poisson, and exponential).",PREREQUISITE: Stat 221,NA,STAT,2,R,SM,NA
MATH 262,Linear Algebra II,0.5,"This course continues MATH 261 with further concepts and theory of linear algebra.  Topics include vector spaces, orthogonality, Gram-Schmidt Process, canonical forms, spectral decompositions, inner product spaces and the projection theorem.","PREREQUISITE: Math 191, Math 261",NA,MATH,2,R,MT,NA
