Code,Title,Credits,Description,Prerequisites,Exclusions,Discipline,Level,Type,Category,Comments
CSC108,Introduction to Computer Programming,0.5,"Structure of computers; the computing environment. Programming in a language such as Python. Program structure: elementary data types, statements, control flow, functions, classes, objects, methods, fields. List: searching, sorting and complexity.",Grade 12 Advanced Functions (MHF4U).,"CSC108H1,120H1,148H5, 148H1, 150H1,CSCA08H3,CSCA20H3",COMP,1.0,R,CS,NA
MAT102,Introduction to Mathematical Proofs,0.5,"Understanding, using and developing precise expressions of mathematical ideas, including definitions and theorems. Set theory, logical statements and proofs, induction, topics chosen from combinatorics, elementary number theory, Euclidean geometry",Minimum 70% in Grade 12 Advanced Functions (MHF4U),"MAT138H1,246H1,CSC165H1",MATH,1.0,R,MT,NA
MAT135,Calculus,1.0,"Trigonometric functions. Limits, continuity. Review of differential calculus; applications. Graphing, extreme values and optimization. Integration and fundamental theorem; applications. Sequences and series. Power Series. Introduction to differential equations. [72L, 24T]",Minimum 70% in Grade 12 Advanced Functions (MHF4U) Highly Recommended: Minimum 70% in Grade 12 Calculus and Vectors (MCV4U),"MAT133Y5, 134Y5, 137Y5, 133Y1, 135Y1,135H1,136H1, 137Y1, 157Y1, 157Y5, MATA30H3, MATA31H3, MATA32H3, MATA33H3 ,MATA35H3, MATA36H3, MATA37H3",MATH,1.0,R,MT,"One of MAT134, 135, 137, or 157"
MAT223,Linear Algebra I,0.5,"Systems of linear equations, matrix algebra, determinants. Vector geometry in R2 and R3. Complex numbers. Rn: subspaces, linear independence, bases, dimension, column spaces, null spaces, rank and dimension formula. Orthogonality, orthonormal sets, Gram-Schmidt orthogonalization process, least square approximation. Linear transformations from Rn to Rm. The determinant, classical adjoint, Cramer's rule. Eigenvalues, eigenvectors, eigenspaces, diagonalization. Function spaces and applications to a system of linear differential equations. The real and complex number fields. [36L, 12T]","Grade 12 Advanced Functions (MHF4U), (Grade 12 Calculus and Vectors (MCV4U)/MAT102H5).","MAT223H1,188H1,MATA23H3",MATH,2.0,R,MT,One of MAT 223 or 240
MAT232,Calculus of Several Variables,0.5,"Differential and integral calculus of several variables: partial differentiation, chain rule, extremal problems, Lagrange multipliers, classification of critical points. Multiple integrals, Green's theorem and related topics. [36L,12T]",Prerequisite: MAT134Y5/135Y5/137Y5 Corequisite: MAT223H5/240H5,"Exclusion: MAT138Y5, 233H5,235Y1, 237Y1,257Y1,257Y5,MATB41H3",MATH,2.0,R,MT,"One of MAT232, 233, or 257"
MAT244,Differential Equations I,0.5,"Ordinary differential equations of the first and second order, existence and uniqueness; solutions by series and integrals; linear systems of first order; linearization of non-linear systems. Applications in life and physical sciences. Power series solutions, boundary value problems, Fourier series solutions, numerical methods.",Prerequisite: MAT233H5 or Corequisite MAT232H5/257Y5. Corequisite: MAT223H5/MAT240H5,"Exclusion: MAT212H5, 242H5, 244H1,MATB44H3",MATH,2.0,R,MT,One of MAT212 or 244
STA256,Probability and Statistics I,0.5,"This course covers probability including its role in statistical modeling. Topics include probability distributions, expectation, continuous and discrete random variables and vectors, distribution functions. Basic limiting results and the normal distribution presented with a view to their applications in statistics.","Prerequisite: MAT134Y5/135Y5/137Y5/157Y5/75%+ in MAT133Y5; Corequisite: MAT233H5 for students with MAT133. For others, MAT232 is strongly recommended.","STA257H5, 257H1, STAB52H3; ECO227Y5",STAT,2.0,R,PT,NA
STA258,Statistics with Applied Probability,0.5,"A survey of statistical methodology with emphasis on the relationship between data analysis and probability theory. Topics covered include descriptive statistics, limit theorems, sampling distribution, point and interval estimation both classical and bootstrap, hypothesis testing both classical and bootstrap, permutation tests, contingency tables and count data. A statistical computer package will be used.",STA256H5/257H5,"STA248H1,255H1, STAB57H3, ECO227Y5",STAT,2.0,R,"ST, SM",NA
STA260,Probability and Statistics II,0.5,"A sequel to STA256H5 giving an introduction to current statistical theory and methodology. Topics include: estimation, testing, and confidence intervals; unbiasedness, sufficiency, likelihood; simple linear and generalized linear models.",STA256H5/257H5/ECO227Y5,"STA261H5, 261H1, STAC58H3",STAT,2.0,R,ST,NA
STA302,Regression Analysis,0.5,"Analysis of the multiple regression model by least squares; statistical properties of the least square analysis, including estimation of error; residual and regression sums of squares; distribution theory under normality of the observations; confidence regions and intervals; tests for normality; variance stabilizing transformations, multicolinearity, variable search methods.",STA258H5; MAT223H5/240H5,"STA302H1,STAC67H3",STAT,3.0,R,SM,NA
STA304,"Surveys, Sampling and Observational Data",0.5,"The sample survey is a widely used technique for obtaining information about a large population at relatively small cost. Only probability samples can provide both an estimator and a measure of sampling error from the data itself. In addition to sampling error, non-sampling errors (refusals, not-at-home, lies, inaccuracies, etc.) are always present, and can produce serious biases. The course covers: design of surveys, sources of bias, randomized response surveys. Techniques of sampling; stratification, clustering, unequal probability selection. Sampling inference, estimates of population mean and variances, ratio estimation, observational data; correlation vs. causation, missing data, sources of bias.",STA107H5/256H5/257H5/ECO227Y5,STA304H1,STAT,3.0,R,"SM, SP",NA
STA305,Experimental Design,0.5,"This course covers topics in the design and analysis of experiments. The topics covered include analysis of variance, randomization, confounding, block designs, factorial designs, orthogonal polynomials and response surface methods. Applications include agricultural experiments, laboratory experiments, and industrial experiments, including quality control techniques.",STA302H1/302H5/331H5/ECO327Y5,"STA332H5, 305H1",STAT,3.0,R,"ST, SM",NA
STA348,Introduction to Stochastic Processes,0.5,"Discrete Markov chains with a finite number of states, random walks, single-server queues, continuous-time Markov chains, Poisson processes, branching processes, birth and death process, M/M/n queues, Monte-Carlo simulation may be introduced",STA260H5/261H5; MAT224H5/240H5,"STA347H1, STAC63H3",STAT,3.0,R,PT,NA
NA,NA,2.0,NA,NA,NA,STAT,34.0,E,"ST, SM, SP","2.0 credits from (STA312, 313, 413, 437, 441, 456)"
NA,NA,2.0,NA,NA,NA,"COMP, MATH",34.0,E,"CS, MT","2.0 credits from CSC322, CSC411, MAT302, MAT311 MAT332, MAT334, MAT344, MAT378"
NA,NA,1.0,NA,NA,NA,"STAT, OTHR",23.0,E,"ST, SM, SP, OT","1.0 additional credits made up of any combination of any other STA courses or PSY201, PSY202, BIO360, BIO361, SOC350, ECO220"
