Code,Title,Credits,Description,Prerequisites,Exclusions,Discipline,Level,Type,Category,Comments
,,0.5,,,,OTHR,"1,2",E,OT,"One of: ANTA01H3, ANTA02H3, (CLAA02H3), (CTLA19H3), CTLA01H3, ENGA10H3, ENGA11H3, ENGB06H3, ENGB07H3, ENGB08H3, ENGB09H3, ENGB17H3, ENGB19H3, ENGB50H3, (ENGB51H3), GGRA02H3, GGRA03H3, GGRB05H3, (GGRB06H3), (HISA01H3), (HLTA01H3), ACMA01H3, (HUMA01H3), (HUMA11H3), (HUMA17H3), (LGGA99H3), LINA01H3, PHLA10H3, PHLA11H3, WSTA01H3."
CSCA08,Introduction to Computer Science I,0.5,"Programming in an object-oriented language such as Python. Program structure: elementary data types, statements, control flow, functions, classes, objects, methods. Lists; searching, sorting and complexity. This course is intended for students having a serious interest in higher level computer science courses, or planning to complete a computer science program.",Grade 12 Calculus and Vectors and one other Grade 12 mathematics course.,"CSCA20H3, CSC108H, CSC120H. CSCA08H3 may not be taken after or concurrently with CSCA48H3.",COMP,1,R,CS,
CSCA48,Introduction to Computer Science II,0.5,Abstract data types and data structures for implementing them. Linked data structures. Object Oriented Programming. Encapsulation and information-hiding. Testing. Specifications. Analyzing the efficiency of programs. Recursion.,CSCA08H3,CSC148H,COMP,1,R,CS,
MATA22,Linear Algebra I for Mathematical Sciences,0.5,"A conceptual and rigorous approach to introductory linear algebra that focuses on mathematical proofs, the logical development of fundamental structures, and essential computational techniques. This course covers complex numbers, vectors in Euclidean n-space, systems of linear equations, matrices and matrix algebra, Gaussian reduction, structure theorems for solutions of linear systems, dependence and independence, rank equation, linear transformations of Euclidean n-space, determinants, Cramer's rule, eigenvalues and eigenvectors, characteristic polynomial, and diagonalization.",Grade 12 Calculus and Vectors or [Grade 12 Advanced Functions and Introductory Calculus and Geometry and Discrete Mathematics],"MATA23H3, MAT223H",MATH,1,R,MT,
,Calculus I for Mathematical Sciences/Calculus I for Physical Sciences,0.5,,,,MATH,1,E,MT,One of: MATA31 or MATA30
,Calculus II for Mathematical Sciences/Calculus II for Physical Sciences,0.5,,,,MATH,1,E,MT,One of: MATA37 or MATA36
MATB24,Linear Algebra II,0.5,"Fields, vector spaces over a field, linear transformations; inner product spaces, coordinatization and change of basis; diagonalizability, orthogonal transformations, invariant subspaces, Cayley-Hamilton theorem; hermitian inner product, normal, self-adjoint and unitary operations. Some applications such as the method of least squares and introduction to coding theory.",MATA22H3 or MAT223H,MAT224H,MATH,2,R,MT,
MATB41,Techniques of the Calculus of Several Variables I,0.5,"Partial derivatives, gradient, tangent plane, Jacobian matrix and chain rule, Taylor series; extremal problems, extremal problems with constraints and Lagrange multipliers, multiple integrals, spherical and cylindrical coordinates, law of transformation of variables.",[MATA22H3 or MATA23H3 or MAT223H] and [[MATA36H3 or MATA37H3] or MAT137Y or MAT157Y]],"MAT232H, MAT235Y, MAT237Y, MAT257Y",MATH,2,R,MT,
MATB61,Linear Programming and Optimization,0.5,"Linear programming, simplex algorithm, duality theory, interior point method; quadratic and convex optimization, stochastic programming; applications to portfolio optimization and operations research.",[MATA22H3 or MATA23H3] and MATB41H3,APM236H,MATH,2,R,MT,
STAB52,Introduction to Probability,0.5,"A mathematical treatment of probability. The topics covered include: the probability model, density and distribution functions, computer generation of random variables, conditional probability, expectation, sampling distributions, weak law of large numbers, central limit theorem, Monte Carlo methods, Markov chains, Poisson processes, simulation, applications. A computer package will be used.",MATA33H3 or MATA36H3 or MATA37H3,"PSYB07H3, STAB22H3, STA107H, STA257H","MATH, STAT",2,R,"MT, PT",
STAB57,Introduction to Statistics,0.5,"A mathematical treatment of the theory of statistics. The topics covered include: the statistical model, data collection, descriptive statistics, estimation, confidence intervals and P-values, likelihood inference methods, distribution-free methods, bootstrapping, Bayesian methods, relationship among variables, contingency tables, regression, ANOVA, logistic regression, applications. A computer package will be used.",STAB52H3,STA261H,"MATH, STAT",2,R,"MT, ST",
