Code,Title,Credits,Description,Prerequisites,Exclusions,Discipline,Level,Type,Category,Comments
CSC108,Introduction to Programming,0.5,"Programming in a language such as Python. Elementary data types, lists, maps. Program structure: control flow, functions, classes, objects, methods. Algorithms and problem solving. Searching, sorting, and complexity. Unit testing. No prior programming experience required.",NA,"Exclusion: CSC120H1, CSC121H1, CSC148H1",COMP,1,R,CS,"One of: CSC108, CSC120, CSC121, CSC148"
MAT137,Calculus I,1.0,"A conceptual approach for students with a serious interest in mathematics. Attention is given to computational aspects as well as theoretical foundations and problem solving techniques. Review of Trigonometry. Limits and continuity, mean value theorem, inverse function theorem, differentiation, integration, fundamental theorem of calculus, elementary transcendental functions, Taylor's theorem, sequence and series, power series. Applications.",Prerequisite: High school level calculus,"Exclusion: MAT135H1, MAT136H1, MAT157Y1, MATA35H3, MATA36H3, MATA37H3, MAT135Y5, MAT137Y5, MAT138Y5, MAT187H, MAT194H, MAT195H, MAT196H & MAT197H",MATH,1,R,MT,"One of: MAT137, MAT157"
MAT223,Linear Algebra I,0.5,"Systems of linear equations, matrix algebra, real vector spaces, subspaces, span,linear dependence andindependence, bases, rank, inner products, orthogonality, orthogonal complements, Gram-Schmidt, linear transformations, determinants,Cramer's rule, eigenvalues, eigenvectors, eigenspaces, diagonalization.",Prerequisite: High school level calculus,Exclusion: MAT240H1,MATH,2,R,MT,"One of: MAT223, MAT240"
MAT224,Linear Algebra II,0.5,"Fields, complex numbers, vector spaces over a field, linear transformations, matrix of a linear transfromation, kernel, range, dimension theorem, isomorphisms, change of basis, eigenvalues, eigenvectors, diagonalizability, real and complex inner products, spectral theorem, adjoint/self-adjoint/normal linear operators, triangular form, nilpotent mappings, Jordan canonical form.",Prerequisite: MAT221H1(80%)/MAT223H1/​MAT240H1,Exclusion: MAT247H1,MATH,2,R,MT,"One of: MAT224, MAT247"
MAT237,Multivariable Calculus,1.0,"Sequences and series. Uniform convergence. Convergence of integrals. Elements of topology in R^2 and R^3. Differential and integral calculus of vector valued functions of a vector variable, with emphasis on vectors in two and three dimensional euclidean space. Extremal problems, Lagrange multipliers, line and surface integrals, vector analysis, Stokes' theorem, Fourier series, calculus of variations.","Prerequisite: MAT137Y1/​MAT157Y1/​(MAT135H1, MAT136H1(90%)),MAT223H1/​MAT240H1","Exclusion: MAT235Y1, MAT257Y1, MATB41H3, MATB42H3, MATB43H3 & MAT368H5",MATH,2,E,MT,"One of: MAT237, MAT257"
STA257,Probability and Statistics I,0.5,"A mathematically rigorous introduction to probability, with applications chosen to introduce concepts of statistical inference. Probability and expectation, discrete and continuous random variables and vectors, distribution and density functions, the law of large numbers. The binomial, geometric, Poisson, and normal distributions. The Central Limit Theorem. (Note: STA257H1 does not count as a distribution requirement course)","(MAT135H1, MAT136H1(70%))/MAT137Y1/MAT157Y1 (MAT137Y1/MAT157Y1 is strongly recommended)",ECO227Y1/STA247H1,STAT,2,R,PT,NA
STA261,Probability and Statistics II,0.5,"A rigourous introduction to the theory of statistical inference and to statistical practice. Statistical models, parameters, and samples. Estimators for parameters, sampling distributions for estimators, and the properties of consistency, bias, and variance. The likelihood function and the maximum likelihood estimator. Hypothesis tests and confidence regions. Examples illustrating statistical theory and its limitations. Introduction to the use of a computer environment for statistical analysis. (Note: STA261H1 does not count as a distribution requirement course).",STA257,ECO227Y1/STA248H1/STA255H1,STAT,2,R,ST,NA
STA302,Methods of Data Analysis I,0.5,"Introduction to data analysis with a focus on regression. Initial Examination of data. Correlation. Simple and multiple regression models using least squares. Inference for regression parameters, confidence and prediction intervals. Diagnostics and remedial measures. Interactions and dummy variables. Variable selection. Least squares estimation and inference for non-linear regression.",STA248H1/STA255H1/STA261H1/ECO227Y1,None,STAT,3,R,SM,NA
STA303,Methods of Data Analysis II,0.5,"Analysis of variance for one-and two-way layouts, logistic regression, loglinear models, longitudinal data, introduction to time series.",STA302,None,STAT,3,R,SM,NA
STA347,Probability,0.5,"An overview of probability from a non-measure theoretic point of view. Random variables/vectors; independence, conditional expectation/probability and consequences. Various types of convergence leading to proofs of the major theorems in basic probability. An introduction to simple stochastic processes such as Poisson and branching processes.","STA247H1/STA255H1/STA257H1/ECO227Y1,MAT223H1/MAT240H1; MAT235Y1/MAT237Y1/MAT257Y1 (Note: STA257H1 and MAT237Y1/MAT257Y1; (MAT223H1, MAT224H1)/MAT240H1 are very strongly recommended)",None,STAT,3,R,PT,NA
STA355,Theory of Statistical Practice,0.5,"STA355H1 provides a unifying structure for the methods taught in other courses, and will enable students to read methodological research articles or articles with a large methodological component. Topics covered include statistical models and distributions; fundamentals of inference: estimation, hypothesis testing, and significance levels; likelihood functions and likelihood-based inference; prior distributions and Bayesian inference.","STA255H1/STA248H1/STA261H1/ECO227Y1, MAT235Y1/MAT237Y1/MAT257Y1, MAT223H1/MAT240H1",None,STAT,3,R,"ST, SM",NA
STA410,Statistical Computation,0.5,"Programming in an interactive statistical environment. Generating random variates and evaluating statistical methods by simulation. Algorithms for linear models, maximum likelihood estimation, and Bayesian inference. Statistical algorithms such as the Kalman filter and the EM algorithm. Graphical display of data.","STA302H1, CSC108H1/CSC120H1/CSC121H1/CSC148H1",None,STAT,4,R,"SM, SP, CS",NA
