Code,Title,Credits,Description,Prerequisites,Exclusions,Discipline,Level,Type,Category,Comments
MATH 135,Algebra,0.5,"An introduction to the language of mathematics and proof techniques through a study of the basic algebraic systems of mathematics: the integers, the integers modulo n, the rational numbers, the real numbers, the complex numbers and polynomials. [Offered: F,W,S]",Prereq: 4U Calculus and Vectors or 4U Mathematics of Data Management; Honours Mathematics or Mathematics/ELAS or Software Engineering students only.,Antireq: MATH 145,MATH,1,R,MT,"One of: MATH 135, 145"
MATH 136, Linear Algebra 1,0.5,"Systems of linear equations, matrix algebra, elementary matrices, computational issues. Real n-space, vector spaces and subspaces, basis and dimension, rank of a matrix, linear transformations and matrix representations. Determinants, eigenvalues and diagonalization, applications. [Offered: F,W,S]",Prereq: MATH 135 with a grade of at least 60% or MATH 145; Honours Mathematics or Mathematics/ELAS or Mathematical Physics students only.,"Antireq: MATH 106, 114, 115, 146, NE 112",MATH,1,R,MT,"One of: MATH 106, 136, 146"
MATH 137,Calculus 1,0.5,"Absolute values and inequalities. Sequences and their limits. Introduction to series. Limits of functions and continuity. The Intermediate Value Theorem and approximate solutions to equations. Derivatives, linear approximation and Newton's method. The Mean Value Theorem and error bounds. Applications of the Mean Value Theorem, Taylor polynomials and Taylor's Theorem, Big-O Notation, Suitable topics are illustrated using computer software. [Offered: F,W,S]",,"Antireq: MATH 116, 117, 124, 127, 147",MATH,1,R,MT,"One of: MATH 127, 137, 147"
MATH 138,Calculus 2,0.5,"Introduction to the Riemann Integral and approximations. Antiderivatives and the Fundamental Theorem of Calculus. Change of variables, Methods of integration. Applications of the integral. Improper integrals. Linear and separable differential equations and applications. Tests for convergence for series. Binomial Series, Functions defined as power series and Taylor series. Vector (parametric) curves in R2. Suitable topics are illustrated using computer software. [Offered: F,W,S]",Prereq: MATH 127 with a grade of at least 70% or MATH 137 with a grade of at least 60% or MATH 147; Honours Mathematics or Mathematics/ELAS or Mathematical Physics students only.,"Antireq: MATH 118, 119, 128, 148",MATH,1,R,MT,"One of: MATH 128, 138, 148"
MATH 235,Linear Algebra 2,0.5,"Orthogonal and unitary matrices and transformations. Orthogonal projections, Gram-Schmidt procedure, best approximations, least-squares. Inner products, angles and orthogonality, orthogonal diagonalization, singular value decomposition, applications.",Prereq: MATH 106/125 with a grade of at least 70% or MATH 136 with a grade of at least 60% or MATH 146; Honours Mathematics or Mathematical Physics students. Coreq: MATH 128 or 138 or 148.,"Antireq: MATH 225, 245",MATH,2,R,MT,"One of: MATH 235, 245"
STAT 230,Probability,0.5,"This course provides an introduction to probability models including sample spaces, mutually exclusive and independent events, conditional probability and Bayes' Theorem. The named distributions (Discrete Uniform, Hypergeometric, Binomial, Negative Binomial, Geometric, Poisson, Continuous Uniform, Exponential, Normal (Gaussian), and Multinomial) are used to model real phenomena. Discrete and continuous univariate random variables and their distributions are discussed. Joint probability functions, marginal probability functions, and conditional probability functions of two or more discrete random variables and functions of random variables are also discussed. Students learn how to calculate and interpret means, variances and covariances particularly for the named distributions. The Central Limit Theorem is used to approximate probabilities.",Prereq: (MATH 135 with min. grade of 60% or MATH 145) & (MATH 128 with min. grade of 70% or (MATH 117 or 137) with min. grade of 60% or MATH 147)); Level at least 1B Hon Math or Math/Phys students only. Coreq: MATH 119 or 138 or 148.,Antireq: STAT 220,STAT,2,R,PT,"One of: STAT 230, 340"
STAT 231,Statistics,0.5,"This course provides a systematic approach to empirical problem solving which will enable students to critically assess the sampling protocol and conclusions of an empirical study including the possible sources of error in the study and whether evidence of a causal relationship can be reasonably concluded. The connection between the attributes of a population and the parameters in the named distributions covered in STAT 230 will be emphasized. Numerical and graphical techniques for summarizing data and checking the fit of a statistical model will be discussed. The method of maximum likelihood will be used to obtain point and interval estimates for the parameters of interest as well as testing hypotheses. The interpretation of confidence intervals and p-values will be emphasized. The Chi-squared and t distributions will be introduced and used to construct confidence intervals and tests of hypotheses including likelihood ratio tests. Contingency tables and Gaussian response models including the two sample Gaussian and simple linear regression will be used as examples. Note: To satisfy any Statistics plan requirement a grade of at least 50% in STAT 231 is required. However, to enrol in STAT 331, 332, 371, 372, or 373, a grade of at least 60% in STAT 231 is required. Offered: F,W,S]",Prereq: (MATH 119 or 128 or 138 or 148) and (STAT 220 with a grade of at least 70% or STAT 230 or 240); Honours Math or Math/Phys students.,"Antireq: STAT 221, 241",STAT,2,R,"ST, SM","One of: STAT 231, 241"
CS 115,Introduction to Computer Science 1,0.5,"An introduction to the fundamentals of computer science through the application of elementary programming patterns in the functional style of programming. Function definition and application. Tracing via substitution. Design, testing, and documentation. Recursive data definitions. Lists and trees. Functional and data abstraction.",,"Antireq: BME 121, CS 135, 137, 138, 145, CHE 121, CIVE 121, ECE 150, GENE 121, NE 111, MSCI 121, PHYS 236, SYDE 121",COMP,1,R,CS,"One of: CS 115, 135, 45"
CS 116,Introduction to Computer Science 2,0.5,"This course builds on the techniques and patterns learned in CS 115 while making the transition to use of an imperative language. Generative and structural recursion. Mutation (assignment) and its role in an imperative language. Primitive types and basic I/O. Sequencing, selection, looping. Function definition and use. File and console I/O. Issues in computer science. [Offered: F,W,S]",Prereq: CS 115 or 135.,"Antireq: CS 136, 137, 138, 146, PHYS 239",COMP,1,R,CS,"One of: CS 116 Introduction to Computer Science 2, CS 136 Elementary Algorithm Design and Data Abstraction, CS 146 Elementary Algorithm Design and Data Abstraction (Advanced Level)"
MATH 237,Calculus 3,0.5,"Calculus of functions of several variables. Limits, continuity, differentiability, the chain rule. The gradient vector and the directional derivative. Taylor's formula. Optimization problems. Mappings and the Jacobian. Multiple integrals in various co-ordinate systems. [Note: MATH 247 may be substituted for MATH 237 whenever the latter is a plan requirement. Offered: F,W,S]",Prereq: (MATH 106/125 with at least 70% or MATH 136 with at least 60% or MATH 146) and (MATH 128 with at least 70% or MATH 138 with at least 60% or MATH 148); Honours Math or Math/Physics students.,"Antireq: MATH 207, 212/ECE 206, MATH 212N, 217, 227",MATH,2,R,MT,
