Code,Title,Credits,Description,Prerequisites,Exclusions,Discipline,Level,Type,Category,Comments
Calculus 1000,Calculus I,0.5,"An enriched version of Calculus 1000A/B. Basic set theory and an introduction to mathematical rigour. The precise definition of limit. Derivatives of exponential, logarithmic, rational trigonometric functions. L'Hospital's rule. The definite integral. Fundamental theorem of Calculus. Integration by substitution. Applications.",Prerequisite(s): Ontario Secondary School MCV4U or Mathematics 0110A/B,"Antirequisite(s): Calculus 1000A/B, the former 1100A/B, Applied Mathematics 1413.",MATH,1.0,R,MT,Calculus 1000A/B or 1500A/B or the form 1100A/B
Calculus 1501,Calculus II,0.5,"Students who intend to pursue a degree in Actuarial Science, Applied Mathematics, Astronomy, Mathematics, Physics, or Statistics should take this course. Techniques of integration; The Mean Value Theorem and its consequences; series, Taylor series with applications; parametric and polar curves with applications; first order linear and separable differential equations with applications.","Prerequisite(s): A minimum mark of 60% in one of Calculus 1000A/B, the former 1100A/B or 1500A/B.","Antirequisite(s): Calculus 1301A/B, Applied Mathematics 1413.",MATH,1.0,R,MT,Calculus 1501A/B or Calculus 1301A/B with a mark of at least 85%
Math 1600,Linear Algebra I,0.5,Properties and applications of vectors; matrix algebra; solving systems of linear equations; determinants; vector spaces; orthogonality; eigenvalues and eigenvectors,"One or more of Ontario Secondary School MCV4U, Mathematics 1229A/B, Calculus 1000A/B or 1500A/B, the former Calculus 1100A/B. Calculus 1000A/B or 1500A/B may be taken as a pre- or corequisite.","Applied Mathematics 1411A/B, 2811B.",MATH,1.0,R,MT,NA
SS1023A/B,Statistical Concepts,0.5,"An examination of statistical issues aiming towards statistical literacy and appropriate interpretation of statistical information. Common misconceptions will be targeted. Assessment of the validity and treatment of results in popular and scientific media. Conceptual consideration of study design, numerical and graphical data summaries, probability, sampling variability, confidence intervals and hypothesis tests.",None,SS2037A/B,STAT,1.0,E,SP,Recommended but not required
NA,NA,1.0,NA,NA,NA,"MATH, COMP, OTHR",1.0,E,"MT, CS, OT",1.5 additional principal courses - .5 from recommended SS1023
SS2503A/B,Advanced Mathematics for Statistical Applications,0.5,"Modeling deterministic systems with differential equations: first and second order ODEs, systems of linear differential equations. Laplace transforms and moment generating functions. Modeling stochastic systems with Markov chains: discrete and continuous time chains, Chapman-Kolmogorov equations, ergodic theorems.","Calculus 2402A/B or (Calculus 2502A/B and 2503A/B) or (Calculus 2502A/B and Mathematics 2123A/B), Mathematics 1600A/B (or the former Linear Algebra 1600A/B) or Applied Mathematics 1411A/B, Statistical Sciences 2857A/B (or the former Statistical Sciences 2657A), or Economics 2122A/B. In each course a minimum mark of 60% is required.",The former Applied Mathematics 2503A/B,STAT,2.0,R,"MT, PT",NA
SS2875A/B,Probability and Statistics I,0.5,"Probability axioms, conditional probability, Bayes' theorem. Random variables motivated by real data and examples. Parametric univariate models as data reduction and description strategies. Multivariate distributions, expectation and variance. Likelihood function will be defined and exploited as a means of estimating parameters in certain simple situations.","A minimum mark of 60% in 0.5 course from Calculus 1000A/B, 1100A/B or 1500A/B plus 0.5 course from Calculus 1301A/B (minimum mark 85%) or Calculus 1501A/B (minimum mark 60%).",The former Statistical Sciences 2657A.,STAT,2.0,R,PT,NA
SS2858A/B,Probability and Statistics II,0.5,"An introduction to the theory of statistics with strong links to data as well as its probabilistic underpinnings. Topics covered include estimation and hypothesis testing, sampling distributions, linear regression, experimental design, law of large numbers and central limit theorem.",A minimum mark of 60% in Statistical Sciences 2857A/B (or the former Statistical Sciences 2657A/B).,"All other courses in Introductory Statistics (except Statistical Sciences 1023A/B and 1024A/B): Biology 2244A/B, Economics 2122A/B, 2222A/B, Geography 2210A/B, Health Sciences 3801A/B, MOS 2242A/B, Psychology 2810, 2820E, 2830A/B, 2850A/B, 2851A/B, Social Work 2207A/B, Sociology 2205A/B, Statistical Sciences 2035, 2141A/B, 2143A/B, 2244A/B, 2037A/B if taken prior to Fall 2010, the former Psychology 2885 (Brescia), the former Social Work 2205, the former Statistical Sciences 2122A/B.",STAT,2.0,R,ST,NA
SS2864A/B,Statistical Programming,0.5,An introduction to programming using a high level language (currently R).,A minimum mark of 60% in Statistical Sciences 2857A/B (or the former Statistical Sciences 2657A/B).,None,STAT,2.0,R,CS,NA
SS3657A/B,Intermediate Probability,0.5,"A continuation of the study of multivariate probability and stochastic processes. This course builds on the background developed in the second year courses, and focuses on the more advanced aspects of multivariate probability, namely transformations where the domain of random variables must be carefully considered.",A minimum mark of 60% in Statistical Sciences 2858A/B and in Statistical Sciences 2503A/B (or the former Applied Mathematics 2503A/B) or Calculus 2503A/B.,None,STAT,3.0,R,PT,NA
SS3843A/B,Introduction to Study Design,0.5,"A case study approach to how data are collected in science, social science and medicine, including the methods of designed experiments, sample surveys, observational studies and administrative records.",A minimum mark of 60% in Statistical Sciences 2858A/B.,None,STAT,3.0,R,"SP, SM",NA
SS3858A/B,Mathematical Statistics,0.5,"Point estimation: sufficiency, completeness, consistency, unbiasedness, Cramer-Rao inequality, Rao-Blackwell theorem, Hypotheses tests:uniformly most powerful tests, likelihood ratio tests.",A minimum mark of 60% in Statistical Sciences 3657A/B.,None,STAT,3.0,R,ST,NA
SS3859A/B,Regression,0.5,"Multiple linear regression, Gauss-Markov theorem, Cochran's theorem, Craig's theorem, stepwise regression, polynomial regression, use of indicator variables, and regression diagnostics.",A minimum mark of 60% in Statistical Sciences 2858A/B.,None,STAT,3.0,R,"SM, ST",NA
SS3850F/G,Data Analysis,0.5,A course in applied statistical computing using popular statistical software such as R or SAS. The primary objective of this course is to strengthen students' applied statistics skills and statistical problem solving abilities. At the end of the course they should be able to identify suitable statistical methodologies for different situations and critically evaluate the appropriateness of model assumptions.,A minimum mark of 60% in Statistical Sciences 2858A/B.,The former Statistical Sciences 3814A/B.,STAT,3.0,R,SP,NA
SS4846A/B,Experimental Design/,0.5,"Completely randomized designs, randomized complete and incomplete block designs, factorial and fractional factorial designs, latin square designs, hierarchical designs, random and fixed effect models.",Prerequisite(s): Statistical Sciences 3843A/B or Statistical Sciences 2858A/B and Statistical Sciences 3859A/B.,NA,STAT,4.0,R,"ST, SM",SS4846A/B or 4853A/B
SS4850F/G,Advanced Data Analysis,0.5,"Modern methods of data analysis including linear and generalized linear models, modern nonparametric regression, principal component analysis, multilevel modelling and bootstrapping.",A minimum mark of 60% in both Statistical Sciences 3843A/B and Statistical Sciences 3859A/B.,None,STAT,4.0,R,SM,NA
SS4861A/B,Time Series,0.5,"ARIMA models, seasonality, dynamic regression, model building using an interactive computer package, forecasting, intervention analysis, control, applications in econometrics, business, and other areas.",A minimum mark of 60% in both Statistical Sciences 3858A/B and Statistical Sciences 2864A/B.,The former Statistical Sciences 3861A/B.,STAT,4.0,R,SM,NA
Calculus 2402A/B,Calculus with Analysis for Statistics,0.5,Functions of multiple variables and their differential calculus. The gradient and the Hessian. Constrained and unconstrained optimization of scalar-valued functions of many variables: Lagrange multipliers. Multidimensional Taylor series. Integrating scalar-valued functions of several variables: Jacobian transformations. Pointwise and uniform convergence. Power series.,"Calculus 1301A/B or 1501A/B or Applied Mathematics 1413, in each case with a minimum mark of 55%.","Calculus 2302A/B, Calculus 2502A/B.",MATH,2.0,R,MT,NA
SS4853A/B,Sampling Theory and Methods,0.5,"Simple random sampling with and without replacement, stratification, systematic sampling, cluster and multistage clustering, ratio and regression estimation, models in surveys, survey design, estimation and analysis.",Prerequisite(s): Statistical Sciences 3859A/B or Statistical Sciences 3843A/B.,The former Statistical Sciences 3853F/G.,STAT,4.0,E,SM,NA
NA,NA,1.0,NA,NA,NA,OTHR,34.0,E,OT,"1 courses from: Actuarial Science 3424A/B, 4824A/B,4823A/B"
NA,NA,1.0,NA,NA,NA,"MATH, OTHR",34.0,E,"MT, OT","1.0 courses from: Actuarial Science 3424A/B, 4824A/B, 4823A/B, Financial Modelling 3520A/B, 3613A/B, 3817B, AM3815A/B, any Statistical science course at the 4000 level, or any course at the 4000 level approved by the Department of Statistical and Actuarial Sciences."
NA,NA,6.0,NA,NA,NA,OTHR,NA,FE,OT,"6.0 credits. An additional Major or Minor module may be taken here. Students must
 successfully complete this additional module with a minimum mark of 60%."
NA,NA,2.0,NA,NA,NA,OTHR,NA,FE,OT,2.0 electives
