Year,FoS,Type,N,PT
2015,Math,Enroll,2171,222
2015,Math,Grad,349,
2015,CS,Enroll,1437,216
2015,CS,Grad,203,
2014,Math,Enroll,1827,198
2014,Math,Grad,327,
2014,CS,Enroll,1229,173
2014,CS,Grad,196,
2013,Math,Enroll,1623,182
2013,Math,Grad,277,
2013,CS,Enroll,896,127
2013,CS,Grad,159,
2012,Math,Enroll,1493,177
2012,Math,Grad,179,
2012,CS,Enroll,698,130
2012,CS,Grad,157,
2011,Math,Enroll,1410,157
2011,Math,Grad,240,
2011,CS,Enroll,585,88
2011,CS,Grad,132,
2010,Math,Enroll,1298,171
2010,Math,Grad,204,
2010,CS,Enroll,495,96
2010,CS,Grad,148,
