PSIS_REFYEAR_D_CODE,PSIS_PROVOFSTUDY_CODE,PSIS_PRGCODECIP6_D_CODE,PSIS_PCSCE_D_CODE,PSIS_GENDER_CODE,_COUNT_
,,,,,16400
,,,,1,8960
,,,,2,7440
,,,66,,10590
,,,66,1,5590
,,,66,2,5000
,,,76,,3470
,,,76,1,1855
,,,76,2,1610
,,,86,,2345
,,,86,1,1515
,,,86,2,830
,,26.1102,,,345
,,26.1102,,1,160
,,26.1102,,2,185
,,26.1102,66,,10
,,26.1102,66,1,5
,,26.1102,66,2,5
,,26.1102,76,,170
,,26.1102,76,1,70
,,26.1102,76,2,100
,,26.1102,86,,165
,,26.1102,86,1,85
,,26.1102,86,2,80
,,27.0501,,,13495
,,27.0501,,1,7235
,,27.0501,,2,6260
,,27.0501,66,,9810
,,27.0501,66,1,5165
,,27.0501,66,2,4645
,,27.0501,76,,2320
,,27.0501,76,1,1220
,,27.0501,76,2,1100
,,27.0501,86,,1365
,,27.0501,86,1,850
,,27.0501,86,2,515
,,27.0502,,,2475
,,27.0502,,1,1505
,,27.0502,,2,970
,,27.0502,66,,690
,,27.0502,66,1,365
,,27.0502,66,2,325
,,27.0502,76,,970
,,27.0502,76,1,560
,,27.0502,76,2,410
,,27.0502,86,,815
,,27.0502,86,1,580
,,27.0502,86,2,235
,,27.0599,,,20
,,27.0599,,1,15
,,27.0599,,2,5
,,27.0599,66,,20
,,27.0599,66,1,15
,,27.0599,66,2,5
,,27.0599,76,,0
,,27.0599,76,1,0
,,27.0599,76,2,0
,,27.0599,86,,0
,,27.0599,86,1,0
,,27.0599,86,2,0
,,27.9999,,,35
,,27.9999,,1,25
,,27.9999,,2,10
,,27.9999,66,,35
,,27.9999,66,1,25
,,27.9999,66,2,10
,,27.9999,76,,0
,,27.9999,76,1,0
,,27.9999,76,2,0
,,27.9999,86,,0
,,27.9999,86,1,0
,,27.9999,86,2,0
,,52.1302,,,30
,,52.1302,,1,20
,,52.1302,,2,10
,,52.1302,66,,25
,,52.1302,66,1,15
,,52.1302,66,2,10
,,52.1302,76,,5
,,52.1302,76,1,5
,,52.1302,76,2,0
,,52.1302,86,,0
,,52.1302,86,1,0
,,52.1302,86,2,0
,10,,,,280
,10,,,1,170
,10,,,2,110
,10,,66,,65
,10,,66,1,40
,10,,66,2,25
,10,,76,,145
,10,,76,1,80
,10,,76,2,65
,10,,86,,70
,10,,86,1,50
,10,,86,2,20
,10,26.1102,,,0
,10,26.1102,,1,0
,10,26.1102,,2,0
,10,26.1102,66,,0
,10,26.1102,66,1,0
,10,26.1102,66,2,0
,10,26.1102,76,,0
,10,26.1102,76,1,0
,10,26.1102,76,2,0
,10,26.1102,86,,0
,10,26.1102,86,1,0
,10,26.1102,86,2,0
,10,27.0501,,,280
,10,27.0501,,1,170
,10,27.0501,,2,110
,10,27.0501,66,,65
,10,27.0501,66,1,40
,10,27.0501,66,2,25
,10,27.0501,76,,145
,10,27.0501,76,1,80
,10,27.0501,76,2,65
,10,27.0501,86,,70
,10,27.0501,86,1,50
,10,27.0501,86,2,20
,10,27.0502,,,0
,10,27.0502,,1,0
,10,27.0502,,2,0
,10,27.0502,66,,0
,10,27.0502,66,1,0
,10,27.0502,66,2,0
,10,27.0502,76,,0
,10,27.0502,76,1,0
,10,27.0502,76,2,0
,10,27.0502,86,,0
,10,27.0502,86,1,0
,10,27.0502,86,2,0
,10,27.0599,,,0
,10,27.0599,,1,0
,10,27.0599,,2,0
,10,27.0599,66,,0
,10,27.0599,66,1,0
,10,27.0599,66,2,0
,10,27.0599,76,,0
,10,27.0599,76,1,0
,10,27.0599,76,2,0
,10,27.0599,86,,0
,10,27.0599,86,1,0
,10,27.0599,86,2,0
,10,27.9999,,,0
,10,27.9999,,1,0
,10,27.9999,,2,0
,10,27.9999,66,,0
,10,27.9999,66,1,0
,10,27.9999,66,2,0
,10,27.9999,76,,0
,10,27.9999,76,1,0
,10,27.9999,76,2,0
,10,27.9999,86,,0
,10,27.9999,86,1,0
,10,27.9999,86,2,0
,10,52.1302,,,0
,10,52.1302,,1,0
,10,52.1302,,2,0
,10,52.1302,66,,0
,10,52.1302,66,1,0
,10,52.1302,66,2,0
,10,52.1302,76,,0
,10,52.1302,76,1,0
,10,52.1302,76,2,0
,10,52.1302,86,,0
,10,52.1302,86,1,0
,10,52.1302,86,2,0
,12,,,,330
,12,,,1,185
,12,,,2,145
,12,,66,,170
,12,,66,1,105
,12,,66,2,65
,12,,76,,105
,12,,76,1,50
,12,,76,2,55
,12,,86,,55
,12,,86,1,30
,12,,86,2,25
,12,26.1102,,,0
,12,26.1102,,1,0
,12,26.1102,,2,0
,12,26.1102,66,,0
,12,26.1102,66,1,0
,12,26.1102,66,2,0
,12,26.1102,76,,0
,12,26.1102,76,1,0
,12,26.1102,76,2,0
,12,26.1102,86,,0
,12,26.1102,86,1,0
,12,26.1102,86,2,0
,12,27.0501,,,325
,12,27.0501,,1,180
,12,27.0501,,2,145
,12,27.0501,66,,165
,12,27.0501,66,1,100
,12,27.0501,66,2,65
,12,27.0501,76,,105
,12,27.0501,76,1,50
,12,27.0501,76,2,55
,12,27.0501,86,,55
,12,27.0501,86,1,30
,12,27.0501,86,2,25
,12,27.0502,,,0
,12,27.0502,,1,0
,12,27.0502,,2,0
,12,27.0502,66,,0
,12,27.0502,66,1,0
,12,27.0502,66,2,0
,12,27.0502,76,,0
,12,27.0502,76,1,0
,12,27.0502,76,2,0
,12,27.0502,86,,0
,12,27.0502,86,1,0
,12,27.0502,86,2,0
,12,27.0599,,,0
,12,27.0599,,1,0
,12,27.0599,,2,0
,12,27.0599,66,,0
,12,27.0599,66,1,0
,12,27.0599,66,2,0
,12,27.0599,76,,0
,12,27.0599,76,1,0
,12,27.0599,76,2,0
,12,27.0599,86,,0
,12,27.0599,86,1,0
,12,27.0599,86,2,0
,12,27.9999,,,5
,12,27.9999,,1,5
,12,27.9999,,2,0
,12,27.9999,66,,5
,12,27.9999,66,1,5
,12,27.9999,66,2,0
,12,27.9999,76,,0
,12,27.9999,76,1,0
,12,27.9999,76,2,0
,12,27.9999,86,,0
,12,27.9999,86,1,0
,12,27.9999,86,2,0
,12,52.1302,,,0
,12,52.1302,,1,0
,12,52.1302,,2,0
,12,52.1302,66,,0
,12,52.1302,66,1,0
,12,52.1302,66,2,0
,12,52.1302,76,,0
,12,52.1302,76,1,0
,12,52.1302,76,2,0
,12,52.1302,86,,0
,12,52.1302,86,1,0
,12,52.1302,86,2,0
,13,,,,45
,13,,,1,15
,13,,,2,30
,13,,66,,10
,13,,66,1,0
,13,,66,2,10
,13,,76,,25
,13,,76,1,10
,13,,76,2,15
,13,,86,,10
,13,,86,1,5
,13,,86,2,5
,13,26.1102,,,0
